date,configured_baseline_value,transformer_walkforward_value
2023-03-10,90892.37819355274,82654.69383986127
2024-03-12,153956.87049679997,180340.16954728248
2025-03-14,99285.4899958324,93557.64715157432
2026-03-17,118293.85049816918,125526.81693917718
