date,ticker,open,high,low,close,volume,ret_1,ret_20,ret_60,vol_20,sma_50,sma_200,trend_ok,llm_score,enough_history,score,selected,weight
2018-01-31,AAPL,39.04306324959199,39.41040247806591,38.95649440447249,39.17408752441406,129915600,0.002754994171489278,-0.028039184137049866,,0.009461581890810183,,,False,0.0,False,,False,0.0
2018-01-31,AMZN,72.56500244140625,73.62899780273438,72.50199890136719,72.54450225830078,128494000,0.009090198056924459,0.2202504884311376,,0.009819129832596956,,,False,0.0,False,,False,0.0
2018-01-31,AVGO,19.784739826429195,20.033235506564214,19.377965623900398,19.628835678100586,80482000,0.029255146519265418,-0.07108350692510679,,0.016351999548292917,,,False,0.0,False,,False,0.0
2018-01-31,COST,176.65824789737687,177.5798330748336,173.66980637722182,174.35874938964844,2682300,-0.015360234711996879,0.034781083391033585,,0.009839763969553744,,,False,0.0,False,,False,0.0
2018-01-31,GOOGL,58.70530384445866,58.82977861079239,58.124604467232764,58.62645721435547,36022000,0.00411942773079832,0.10157389160955033,,0.00743228456698278,,,False,0.0,False,,False,0.0
2018-01-31,JPM,92.98142808980597,93.7934595620187,92.58747477780321,92.99750518798828,13141400,0.00486523391901561,0.07709710572825301,,0.006974346789551193,,,False,0.0,False,,False,0.0
2018-01-31,META,187.0632960772574,188.5131749075935,183.93515329351402,185.59356689453125,43275100,-0.0012291808469170329,0.03015119001228328,,0.015685168340936226,,,False,0.0,False,,False,0.0
2018-01-31,MSFT,86.02788061431198,87.54197271331725,85.80765120021006,87.18409729003906,48756300,0.024477139760597844,0.10541046246972119,,0.010623833909142576,,,False,0.0,False,,False,0.0
2018-01-31,NVDA,6.075845485847454,6.162371435590869,6.043212885055399,6.076587200164795,478576000,0.01268928333283137,0.23300737345264855,,0.018992107779097624,,,False,0.0,False,,False,0.0
2018-01-31,XOM,59.63448057229584,60.26141676960852,59.47602775191129,60.1442985534668,14404700,0.005991874077488024,0.026696175113259724,,0.00859666582990093,,,False,0.0,False,,False,0.0
2018-02-28,AAPL,42.1129855310267,42.43248618806671,41.82872605204726,41.84516906738281,151128400,-0.0015136414787828567,0.0711277509174364,,0.02220594481385964,,,False,0.0,False,,False,0.0
2018-02-28,AMZN,75.97550201416016,76.43499755859375,75.5999984741211,75.62249755859375,90300000,0.0003108313001467522,0.05190495025043784,,0.023383184697156927,,,False,0.0,False,,False,0.0
2018-02-28,AVGO,20.107618978689445,20.140064718567498,19.466592594089665,19.504579544067383,28834000,-0.021246458652373623,0.022739667581156642,,0.02399546929881949,,,False,0.0,False,,False,0.0
2018-02-28,COST,171.89171017743524,173.82951857400474,171.254735937371,171.26370239257812,2179800,0.004208591309628806,-0.032838602499209224,,0.01738856681770049,,,False,0.0,False,,False,0.0
2018-02-28,GOOGL,55.64013458167167,55.92032007840852,54.69792496509287,54.74354553222656,49292000,-0.0121609853518454,-0.062384796495696615,,0.024961805700440407,,,False,0.0,False,,False,0.0
2018-02-28,JPM,94.72603403367667,95.2647054775606,92.73213755599025,92.86077880859375,17735600,-0.015848851073518855,0.003387865413963187,,0.020654017508582943,,,False,0.0,False,,False,0.0
2018-02-28,META,181.03542565076677,181.61140412912914,176.90427907330402,177.08303833007812,18783000,-0.017303958079092463,-0.047028546245045044,,0.02421834883935779,,,False,0.0,False,,False,0.0
2018-02-28,MSFT,87.43691644090148,88.2390079676159,86.32136822361066,86.450439453125,31167300,-0.004564712203333432,0.015856121642761067,,0.024073164684083034,,,False,0.0,False,,False,0.0
2018-02-28,NVDA,6.097679799344355,6.1372590225719925,5.974736784113579,5.986363410949707,523116000,-0.016500274697748285,-0.0023468975743268228,,0.03516471896041062,,,False,0.0,False,,False,0.0
2018-02-28,XOM,54.3980475098152,54.4606834468022,52.685924226480644,52.71376419067383,17087800,-0.02270946021351794,-0.11829350905617897,,0.02105336364043745,,,False,0.0,False,,False,0.0
2018-03-29,AAPL,39.42307077251929,40.34868305635966,39.209286496871094,39.41602325439453,153594000,0.007808445394966057,-0.041257388897683045,-0.022036439354502835,0.01675251378734388,40.26450492858887,,False,0.0,False,,False,0.0
2018-03-29,AMZN,70.30000305175781,72.77349853515625,68.26000213623047,72.36699676513672,251622000,0.011121789958675743,-0.030874871289568673,0.2172647188967154,0.021297105419594873,73.47427017211913,,False,0.0,False,,False,0.0
2018-03-29,AVGO,19.11828757129723,19.33910834435319,18.850893171791796,18.922359466552734,46874000,-0.004352010662245442,-0.017290975505095285,-0.10451684019224683,0.02423465015759151,19.694219703674317,,False,0.0,False,,False,0.0
2018-03-29,COST,165.7372714062098,169.23610396918767,165.44121423715185,169.04769897460938,3016000,0.02625100020175397,-0.00317437751878491,0.003261159546335435,0.01550766196299883,168.97284088134765,,False,0.0,False,,False,0.0
