config_name,config_path,total_return,cagr,annual_volatility,sharpe,max_drawdown,avg_daily_turnover,benchmark_total_return,benchmark_cagr,signal_coverage,avg_llm_abs_score,changed_rebalance_count
base,us_stocks\config\base.yaml,0.2696574774821865,0.22289175292503183,0.20662703032198776,1.0776778841829933,-0.21595890921810745,0.046822742474916385,0.14330366169378617,0.11948721065072587,0.0,0.0,0
soft_price,us_stocks\config\soft_price.yaml,0.38738769304570253,0.31778836650593356,0.22844948257274117,1.3228220812952205,-0.2540166632945656,0.043478260869565216,0.14330366169378617,0.11948721065072587,0.0,0.0,7
with_llm_short,us_stocks\config\with_llm_short.yaml,0.38738769304570253,0.31778836650593356,0.22844948257274117,1.3228220812952205,-0.2540166632945656,0.043478260869565216,0.14330366169378617,0.11948721065072587,0.14,0.03312483426696126,7
with_llm_swing,us_stocks\config\with_llm_swing.yaml,0.38738769304570253,0.31778836650593356,0.22844948257274117,1.3228220812952205,-0.2540166632945656,0.043478260869565216,0.14330366169378617,0.11948721065072587,0.14,0.031203706177923056,7
with_llm_long,us_stocks\config\with_llm_long.yaml,0.38808175908976894,0.3183439648067603,0.22844674089937092,1.3246826087278942,-0.2540166632945656,0.04180602006688963,0.14330366169378617,0.11948721065072587,0.14,0.027793046049364042,7
