model_name,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse
configured_baseline,0.6454979023048064,0.6487661984907018,0.2087478227148966,0.1329464553171996,2.5018557535550014,3.928325430379323,-0.10700388914611958,6.063015126532239,0.041633466135458166,0.20269109751525516,0.20357576785031184,0.36817999709516824,0.44519043064039,0.13693323961033427,2.332444434112405,2025-03-17,2026-03-16,100000.0,163834.05279938335,63834.05279938335,,,
ridge_walkforward,0.48844597818121915,0.49080642754645876,0.26090768052113705,0.15804328528349568,1.6594109005569817,2.739458676268268,-0.12011064494427737,4.086285838979196,0.049203187250996025,0.20269109751525516,0.20357576785031184,0.23759623834942323,0.2872306596961469,0.14405027308358956,1.597256814883373,2025-03-17,2026-03-16,100000.0,148844.59781812193,48844.597818121925,16467.69230769231,600.0,
tree_walkforward,0.47831608942446713,0.4806201906106846,0.26264655321748603,0.158793297016774,1.6240075052378478,2.6861333674871166,-0.12011064494427737,4.001478726832726,0.03595617529880478,0.20269109751525516,0.20357576785031184,0.22917355294193986,0.2770444227603728,0.14410738600350603,1.5521217275939503,2025-03-17,2026-03-16,100000.0,147831.6089424467,47831.608942446706,16467.69230769231,600.0,0.00819193134325017
mlp_walkforward,0.43681393009087555,0.43889009703337534,0.270713996884336,0.1636067114908362,1.4776863654030776,2.445073178689009,-0.12011064494427737,3.654048292197486,0.04352589641434263,0.20269109751525516,0.20357576785031184,0.19466580658933563,0.2353143291830635,0.1496148761515465,1.3178008662240737,2025-03-17,2026-03-16,100000.0,143681.39300908757,43681.393009087566,16467.69230769231,600.0,
