date,ticker,open,high,low,close,volume,ret_1,ret_5,ret_20,ret_60,ret_120,vol_20,vol_60,sma_20,sma_50,sma_200,price_vs_sma20,price_vs_sma50,price_vs_sma200,sma20_vs_sma50,sma50_vs_sma200,drawdown_20,drawdown_60,volume_ratio_20,log_dollar_volume_20,range_pct_20,vol_ratio_20_60,momentum_20_60_gap,trend_ok,llm_score,future_return,label_available_date,trend_flag,enough_history,has_model_features,has_training_label,predicted_return,selected,weight,train_sample_count,validation_sample_count
2025-03-31,AAPL,216.0682695484103,224.6409066608951,215.29165561007284,221.1660614013672,65299300,0.019412553869742055,0.0063425732453969985,-0.06679827160196539,-0.11199489534601614,-0.018435229752838955,0.01958866799319086,0.018224841359851633,220.97340393066406,229.17479888916014,227.71585807800292,0.0008718581841802298,-0.03494597803341526,-0.028763023936576815,-0.03578663534668425,0.0064068476542265,-0.0708579561327517,-0.10105222929367452,0.2227697905211854,23.18972920357077,0.02751264287161372,0.07483338847292598,0.04519662374405076,False,0.0,-0.04916043429093264,2025-04-29,0.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,AMZN,188.19000244140625,191.3300018310547,184.3999938964844,190.25999450683597,63547600,-0.01276466738421178,-0.06395749459475064,-0.07199302242726358,-0.13277726862597783,0.020106161119759935,0.020651033455560724,0.018006056354824388,198.1834999084473,216.09419982910157,200.21945030212402,-0.03998065129171535,-0.11955066513907653,-0.049742698725121826,-0.08288376057672531,0.07928675012853703,-0.08686890982191897,-0.2139965445518064,0.37582658257966717,22.935323987905935,0.030040230418580904,0.14689374778212683,0.060784246198714253,False,0.0,-0.015084595816512558,2025-04-29,0.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,AVGO,163.51020338452625,166.93965006119086,159.66324513451602,166.43267822265625,35656400,-0.009992984751705736,-0.12454910474286185,-0.10371649279909434,-0.27563565403122037,-0.046724544902827736,0.03544382419828094,0.03736519785578773,185.41384506225586,206.3855502319336,181.80691818237304,-0.10237189587016204,-0.19358366883911582,-0.0845635584906328,-0.10161421255562697,0.13519085134541142,-0.14129668048485855,-0.31370403303482963,-0.001922319267349315,22.614300000257888,0.04363515892097346,-0.051421476875952776,0.17191916123212603,False,0.0,0.14179067805032397,2025-04-29,0.0,True,True,True,-0.2581368434104245,True,0.25,15210.0,600.0
2025-03-31,COST,917.3325488485171,989.576630166124,917.0142857635636,940.6249389648438,3102000,0.01733963739977651,0.021316686923524397,-0.09654677917311327,0.03334715939477517,0.07357319221135539,0.02104633581192789,0.01636165637775155,934.16435546875,979.8928564453125,911.8728967285156,0.006915895964422436,-0.040073684813784816,0.03153075646779335,-0.04666683778311076,0.07459368510768227,-0.09732287144968277,-0.12172427502013439,0.1687577709958179,21.631345267734837,0.026451567049812857,0.2863206099687148,-0.12989393856788845,False,0.0,0.0485525493506378,2025-04-29,0.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,GOOGL,152.58093987828155,155.00253588696825,150.13940872047658,154.10565185546875,54603500,0.0020087861948854258,-0.0777670523234052,-0.07300097964175378,-0.18215474544480748,-0.07221633012833029,0.022401383311210343,0.02072190308167639,164.66781921386718,178.28977966308594,173.86008949279784,-0.06414226780206822,-0.1356450597073927,-0.11362261284322772,-0.07640348468072689,0.02547847630362332,-0.1095243154548432,-0.24983970978409098,0.5795469305093075,22.458064343082782,0.02813361248770984,0.08104855152126711,0.10915376580305369,False,0.0,0.035695741597478126,2025-04-29,0.0,True,True,True,-0.3154846138863124,True,0.25,15210.0,600.0
2025-03-31,JPM,234.5996231402057,240.92002258119436,232.5908100746605,240.37127685546875,13603000,0.010088527975936845,-0.011126277258261874,-0.05878288634453055,0.028604904860243474,0.1673463169131908,0.01958473871640661,0.01553525775599804,235.79657211303712,251.79522369384765,224.2457411956787,0.019401065509292437,-0.045369990227729806,0.07191010885561822,-0.06353834415962922,0.12285398309584417,-0.024768376660838753,-0.1237720243544308,0.062221521171809346,21.82356221918065,0.025602812072739557,0.26066390555026975,-0.08738779120477402,False,0.0,0.0033702846675536247,2025-04-29,0.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,META,561.7474544327795,576.9001929680891,551.57916536005,574.5674438476562,21124700,-0.000658922793399519,-0.068659608552051,-0.1193454293719508,-0.01475164998021905,-0.031214492089914336,0.027167376391391586,0.02123383439788711,604.7402313232421,649.535361328125,573.655668182373,-0.04989379887884149,-0.11541776159373296,0.0015894128060691681,-0.06896488270213474,0.13227393601143467,-0.12125041644796053,-0.2169183892450186,0.1983275930971946,23.086837580943058,0.03648285446895415,0.27943808368849754,-0.10459377939173176,False,0.0,-0.03803175218959831,2025-04-29,0.0,True,True,True,-0.31518343025642387,True,0.25,15210.0,600.0
2025-03-31,MSFT,369.7096411618319,374.2052233402368,364.449889664545,372.5379943847656,35184700,-0.009002035522357565,-0.04500349146878435,-0.03372026237908565,-0.10760927968068668,-0.09413159534710536,0.015880206739556736,0.016164125123690438,384.66316680908204,401.4154400634766,417.64848617553713,-0.031521532266525654,-0.0719390506606934,-0.1080106675445045,-0.041733006711813236,-0.03886772405356642,-0.06391194028397218,-0.15889380150794263,0.501121317533703,22.920783325527868,0.021397601580177818,-0.01756472323501046,0.07388901730160102,False,0.0,0.04968164606086911,2025-04-29,0.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,NVDA,105.10522740758996,110.9338556226425,103.6255803841977,108.35446166992188,299212700,-0.011762626571884982,-0.10732236799140749,-0.04971096022629373,-0.19286647214401265,-0.13226511212607894,0.03309872947495539,0.04203892321033265,114.936323928833,124.39043640136718,127.52291500091553,-0.05726529293721394,-0.12891646010230617,-0.15031379521755783,-0.07600353167046425,-0.024564044819128106,-0.10922991690862638,-0.2746438244726469,0.03774950126755616,24.220530938364767,0.04220229699899048,-0.2126646700879311,0.14315551191771891,False,0.0,0.00590512648853303,2025-04-29,0.0,True,True,True,-0.2886156588688914,True,0.25,15210.0,600.0
2025-03-31,XOM,113.87725446859892,115.92683499640438,113.87725446859892,114.97938537597656,21652300,0.010192769160634496,0.027029255649739126,0.10365622083057668,0.11549497062075109,-0.030843648793523748,0.01359566809951605,0.013952924095925565,109.2318717956543,106.96553955078124,108.97429481506347,0.05261755095687115,0.07491988409398709,0.05510556935563682,0.021187498837390795,-0.018433294454359372,0.0,0.0,0.18016058289924564,21.416092489884825,0.021165548694841246,-0.025604381845224733,-0.011838749790174408,False,0.0,-0.08887568877583862,2025-04-29,0.0,True,True,True,,False,0.0,0.0,0.0
2025-04-30,AAPL,208.39173986928208,212.65316547487808,205.7731479657814,211.57785034179688,52286500,0.0061076967427529105,0.03861179523133251,-0.047896433729625265,-0.06699862559261482,-0.04072932422791875,0.0509802245003527,0.03211957389471504,199.21523818969726,216.0883950805664,226.04601974487304,0.062056558847810805,-0.020873609325886444,-0.06400541544330518,-0.07808451205618039,-0.04405131607955448,-0.050873211107918315,-0.1400243071181304,-0.33431404134391496,23.453418997140655,0.04758470674883576,0.5872011461752611,0.01910219186298956,False,0.0,-0.05782489297896731,2025-05-29,0.0,True,True,True,,False,0.0,0.0,0.0
2025-04-30,AMZN,182.1699981689453,185.0500030517578,178.85000610351562,184.4199981689453,55176500,-0.015849304820837684,0.021151671851219023,-0.04032887585910583,-0.2232330907621599,-0.05802431648371653,0.04341849567012118,0.029261684126761403,180.66599960327147,194.02300048828124,199.0679002380371,0.020778666566577675,-0.04949414396833807,-0.07358244122521229,-0.0688423581296822,-0.02534260794293497,-0.05912961921687343,-0.23812277935636972,-0.13232627733667968,23.160114059428786,0.050295659692183414,0.48380029946439773,0.18290421490305409,False,0.0,0.11538878099219207,2025-05-29,0.0,True,True,True,,False,0.0,0.0,0.0
2025-04-30,AVGO,184.7926745025756,192.04919484739312,182.9238830982368,191.32354736328125,22768900,0.006800284890905894,0.08795432226218791,0.14211963883070866,-0.11334025298546113,0.14844057264397836,0.05961620036460583,0.04410441628094152,173.6658462524414,184.28789276123047,182.66503440856934,0.10167630246175485,0.03817751940528402,0.047401041927626286,-0.0576383307098276,0.008884340442688377,0.0,-0.18319271017906646,-0.34055494822729737,22.488110543011878,0.05871704829635589,0.35170591500079085,0.2554598918161698,True,0.0,0.25718287078760116,2025-05-29,1.0,True,True,True,0.06666961678377943,True,0.25,15430.0,600.0
2025-04-30,COST,984.6039950685804,992.3217088231314,971.2272922880104,989.0794677734376,2212400,0.0028234868360637044,0.019122046148240646,0.04201603185872327,-0.010171817586385856,0.12361197666836699,0.022833594303770893,0.019683453542544034,960.0952453613281,963.1220642089844,923.1917852783204,0.030188903186580518,0.02695131233004422,0.07136944191423211,-0.003142715716041855,0.043252420101015154,0.0,-0.07648154898231652,-0.21273627875199275,21.708718897148483,0.03475417081765806,0.1600400435024325,0.052187849445109125,True,0.0,0.015640220923342607,2025-05-29,1.0,True,True,True,0.01949943747809076,True,0.25,15430.0,600.0
2025-04-30,GOOGL,157.43409270690867,158.7196436016194,154.86300612354924,158.2512664794922,34981100,-0.00849151087918365,0.022207825514265034,0.011014147747600234,-0.20994437469909621,-0.05953035800789186,0.031205158668766594,0.025316776127736702,153.89886398315429,162.06515167236327,170.9821940612793,0.028280926731300005,-0.023533036889888392,-0.0744576220446932,-0.05038891831427306,-0.05215187720494563,-0.01951106940426761,-0.22965955784263337,-0.13837044816875,22.551693924752882,0.03629002625983534,0.2325881664916516,0.22095852244669645,False,0.0,0.082241852522694,2025-05-29,0.0,True,True,True,,False,0.0,0.0,0.0
2025-04-30,JPM,237.8193419445802,241.7729683625272,235.07840628381985,241.181396484375,12991700,0.0,0.015526323330296243,0.010123755955446567,-0.07752063576698198,0.12566159769661178,0.03425190318046687,0.024099858899777258,230.03901748657228,237.59906829833983,228.06660682678222,0.048436909179779164,0.015077197952380272,0.05750420826646274,-0.031818520442491005,0.04179683121605593,-8.173409898515338e-05,-0.12081888664283114,-0.06977326989907395,21.876837267242653,0.037707849271571635,0.4212491169723589,0.08764439172242855,True,0.0,0.08073749416679576,2025-05-29,1.0,True,True,True,0.027735141711114752,True,0.25,15430.0,600.0
