date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value,transformer_walkforward_value
2023-03-14,96158.45857884386,91130.88237155508,96310.12067819039,85355.28141734205,88300.85997460509,86100.96077620744,90780.21735229559,84138.79702023286
2024-03-14,146571.35681457646,148360.11551269976,162365.9048097445,150992.2453706764,151415.3249996372,150535.5345536038,142442.71414401665,171848.11341224224
2025-03-18,100660.63687518274,94584.23845150786,102204.56713023511,95552.34002147244,95177.49403003839,98131.43304087514,93522.27942475883,96939.08375859994
2026-03-19,116167.6924854002,117819.37253944989,113882.82844360016,117973.39711428425,109693.42380383163,115699.15493421379,109316.16323786366,127124.23635563812
