"lane","model_name","eval_start","eval_end","ending_capital","cagr","sharpe","max_drawdown"
"phased_30_eligibility","mlp_walkforward","2025-03-17","2026-03-17","123183.169289537","0.231831692895372","1.38921236444331","-0.0971311506016217"
"phased_30_eligibility","configured_baseline","2025-03-17","2026-03-17","122956.292503348","0.239420376782381","1.32957763504651","-0.0988911550299565"
"phased_30_eligibility","tree_walkforward","2025-03-17","2026-03-17","121719.647983598","0.217196479835982","1.22788135938276","-0.111783955634528"
"phased_30_eligibility","ridge_walkforward","2025-03-17","2026-03-17","112517.365480334","0.125173654803336","0.773656478679761","-0.102503438711545"
"dynamic_60_eligibility","configured_baseline","2025-03-17","2026-03-17","118293.850498169","0.196444208066693","1.04202897301382","-0.130943619582044"
"dynamic_60_eligibility","ridge_walkforward","2025-03-17","2026-03-17","116876.958291164","0.168769582911644","0.865727011613979","-0.119959231359268"
"dynamic_60_eligibility","mlp_walkforward","2025-03-17","2026-03-17","114914.527621723","0.149145276217229","0.793384738473421","-0.121798976311915"
"dynamic_60_eligibility","tree_walkforward","2025-03-17","2026-03-17","113542.217412304","0.135422174123041","0.749433865358721","-0.134240312047668"
