"lane","model_name","window_count","avg_ending_capital","avg_cagr","avg_sharpe","beat_baseline_windows"
"phased_30_eligibility","configured_baseline","4","119781.300062523","0.199247390537203","1.14470256543881","0"
"phased_30_eligibility","tree_walkforward","4","115188.166308689","0.15109755117422","0.79462107139015","2"
"phased_30_eligibility","mlp_walkforward","4","114223.732602948","0.145721465797909","0.980845092409615","1"
"phased_30_eligibility","ridge_walkforward","4","110608.087006182","0.108042599474932","0.73121437694606","0"
"dynamic_60_eligibility","tree_walkforward","4","119182.623907004","0.1919364257603","0.91515431387608","3"
"dynamic_60_eligibility","configured_baseline","4","115607.147296089","0.159520411140301","0.765220259463753","0"
"dynamic_60_eligibility","ridge_walkforward","4","113319.218205549","0.133449689961027","0.698367237386518","1"
"dynamic_60_eligibility","mlp_walkforward","4","112204.159884625","0.124361567977128","0.712504885431219","1"
