rank,model_name,stability_window_count,stability_avg_gap_vs_baseline,stability_median_gap_vs_baseline,stability_worst_gap_vs_baseline,stability_best_gap_vs_baseline,stability_gap_std,stability_beat_rate,stability_avg_information_ratio,stability_avg_max_drawdown,stability_avg_validation_mse,stability_latest_window_label,stability_latest_gap_vs_baseline,stability_latest_ending_capital,stability_latest_validation_mse,latest_report_gap_vs_baseline,latest_report_ending_capital,latest_report_gap_delta_vs_stability_latest,degradation_gap_latest_vs_avg,robust_positive_windows,priority_tier
1,transformer_walkforward,4,5123.021448177475,3617.495376827559,-12019.661558610998,25276.75659766578,14250.448275644183,0.5,0.04061544882782414,-0.1620729140742713,0.0101875963157099,2025-03-19_to_2026-03-19,10956.543870237918,127124.23635563812,0.0108549420983257,11352.77906332312,127520.47154872332,396.2351930852019,5833.522422060443,False,promote
2,tree_walkforward,4,3801.319076941727,847.7961771994524,-2284.864041800043,15794.547995168046,7058.593436144655,0.75,0.19972643450864777,-0.14434596950722808,0.009302621959047925,2025-03-19_to_2026-03-19,-2284.864041800043,113882.82844360016,0.0103793779588177,-2900.9839790250553,113266.70850637514,-616.1199372250121,-6086.18311874177,True,promote
3,configured_baseline,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0603438522407682,-0.16505773642726157,,2025-03-19_to_2026-03-19,0.0,116167.6924854002,,0.0,116167.6924854002,0.0,0.0,False,deprioritize
4,ridge_walkforward,4,-1915.8839696976647,-1687.948076619541,-6076.39842367488,1788.7586981233037,3655.2838283440515,0.5,-0.2152761034451886,-0.15456306633005554,,2025-03-19_to_2026-03-19,1651.6800540496915,117819.37253944988,,425.27172797880485,116592.964213379,-1226.4083260708867,3567.5640237473563,False,challenger
5,hybrid_sequence_walkforward,4,-2272.7653622757716,-1498.8706927470048,-10057.497802636412,3964.177739027335,5070.071920129488,0.25,-0.2731641463657491,-0.17746019733692786,0.010871853522705574,2025-03-19_to_2026-03-19,-468.5375511864113,115699.1549342138,0.0110779135273053,-1335.5339005703136,114832.15858482989,-866.9963493839023,1804.2278110893603,False,deprioritize
6,mlp_walkforward,4,-2421.2202075570312,-1651.2961124131252,-10803.177161501808,4420.888556099933,5961.5209717554335,0.5,-0.3081643007483248,-0.16459414438925396,,2025-03-19_to_2026-03-19,1805.7046288840504,117973.39711428423,,1139.4410550104658,117307.13354041066,-666.2635738735846,4226.924836441081,False,challenger
7,tcn_walkforward,4,-3742.7604864727364,-5978.705763356462,-7857.598604238767,4843.968185060745,5028.764007890172,0.25,-0.33996574127067486,-0.16315943122548862,0.009749343529200274,2025-03-19_to_2026-03-19,-6474.268681568574,109693.42380383164,0.0106446907067528,-7176.313523093297,108991.3789623069,-702.0448415247229,-2731.5081950958374,False,deprioritize
8,lstm_walkforward,4,-5874.1926487671335,-6114.8852370424065,-7138.357450423908,-4128.642670559813,1208.9470638392895,0.0,-0.5249205683044689,-0.16846014492100128,0.010836221186670976,2025-03-19_to_2026-03-19,-6851.529247536542,109316.16323786366,0.0109575499708835,-7209.783684641719,108957.90880075848,-358.2544371051772,-977.3365987694087,False,deprioritize
