config_name,config_path,total_return,cagr,annual_volatility,sharpe,max_drawdown,avg_daily_turnover,benchmark_total_return,benchmark_cagr,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,signal_coverage,avg_llm_abs_score,changed_rebalance_count
with_llm_long,us_stocks\config\with_llm_long.yaml,0.6625343217588935,0.6625343217588935,0.22312012268392428,2.391953074068893,-0.1124401080365729,0.041666666666666664,0.19896813877365682,0.19896813877365682,2025-03-13,2026-03-13,100000.0,171906.612298518,71906.61229851801,0.16153846153846155,0.03206889928772774,7
soft_price,us_stocks\config\soft_price.yaml,0.6617030244579447,0.6617030244579447,0.22312550781996165,2.3896544530026143,-0.1124401080365729,0.04365079365079365,0.19896813877365682,0.19896813877365682,2025-03-13,2026-03-13,100000.0,171820.65587587538,71820.65587587538,0.0,0.0,7
with_llm_short,us_stocks\config\with_llm_short.yaml,0.6617030244579447,0.6617030244579447,0.22312550781996165,2.3896544530026143,-0.1124401080365729,0.04365079365079365,0.19896813877365682,0.19896813877365682,2025-03-13,2026-03-13,100000.0,171820.65587587538,71820.65587587538,0.16153846153846155,0.03822096261572453,7
with_llm_swing,us_stocks\config\with_llm_swing.yaml,0.6617030244579447,0.6617030244579447,0.22312550781996165,2.3896544530026143,-0.1124401080365729,0.04365079365079365,0.19896813877365682,0.19896813877365682,2025-03-13,2026-03-13,100000.0,171820.65587587538,71820.65587587538,0.16153846153846155,0.03600427635914199,7
base,us_stocks\config\base.yaml,0.5206951514377991,0.5206951514377991,0.19669059932421665,2.2311235449016054,-0.08332424987896603,0.047619047619047616,0.19896813877365682,0.19896813877365682,2025-03-13,2026-03-13,100000.0,157240.3940183832,57240.3940183832,0.0,0.0,0
