model_name,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,model_dim,training_lookback_days,ending_capital_gap_vs_baseline,beat_baseline
transformer_d4_lb252,0.2717568620112787,0.2717568620112787,0.19809886989140674,0.13924567432247856,1.3135265068383264,1.868698024862622,-0.15042577866072482,1.8065843795577614,0.051428571428571435,0.20585489372398547,0.20585489372398547,0.054651657202112736,0.06590196828729322,0.12946306066973928,0.4288078072926444,2025-03-17,2026-03-17,100000.0,125526.81693917718,25526.81693917718,7252.0,1682.6923076923076,0.010931677232583675,4.0,252.0,7232.966441008,True
configured_baseline,0.1964442080666926,0.1964442080666926,0.1894388205758218,0.1342639580393356,1.0420289730138201,1.4702437090059566,-0.13094361958204437,1.5002197792738425,0.054285714285714284,0.20585489372398547,0.20585489372398547,-0.007804160937001536,-0.009410685657292861,0.1291338257862697,-0.05647324167713611,2025-03-17,2026-03-17,100000.0,118293.85049816918,18293.85049816918,,,,,,0.0,False
transformer_d8_lb252,0.17447057682928868,0.17447057682928868,0.18771699073379297,0.13361007514942105,0.9510905504793464,1.3362454579242342,-0.13849998811602637,1.2597154642578632,0.048571428571428564,0.20585489372398547,0.20585489372398547,-0.026026611541770217,-0.031384316894696784,0.11620758448664707,-0.22509278951211883,2025-03-17,2026-03-17,100000.0,116073.54446233589,16073.544462335893,7252.0,1682.6923076923076,0.010631975732441127,8.0,252.0,-2220.3060358332878,False
transformer_d4_lb126,0.12295219061730345,0.12295219061730345,0.20262054333637178,0.14265104842513826,0.6737464085506233,0.9569846480525374,-0.15565331063950927,0.7899105397254215,0.051428571428571435,0.20585489372398547,0.20585489372398547,-0.06875014857770945,-0.08290270310668202,0.1149983684589986,-0.592864776675036,2025-03-17,2026-03-17,100000.0,111086.33624575674,11086.336245756742,3644.4615384615386,1682.6923076923076,0.011985844978768343,4.0,126.0,-7207.5142524124385,False
transformer_d8_lb126,0.10909125004124975,0.10909125004124975,0.1924013761609937,0.13662364780438968,0.6346016790131891,0.8936830359779911,-0.14941137755203515,0.7301401796075189,0.05523809523809524,0.20585489372398547,0.20585489372398547,-0.0802448488506814,-0.09676364368273571,0.11378088644172396,-0.7259137420412237,2025-03-17,2026-03-17,100000.0,109612.07122957386,9612.071229573863,3644.4615384615386,1682.6923076923076,0.011195440455895154,8.0,126.0,-8681.779268595317,False
