model_name,window_label,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,rebalance_count,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,model_dim,training_lookback_days,baseline_ending_capital,ending_capital_gap_vs_baseline,beat_baseline
configured_baseline,2022-03-10_to_2023-03-10,-0.0853250374786737,-0.0853250374786737,0.22873962991467883,0.16916588079794218,-0.27515774330280235,-0.3720577700087075,-0.2569325433057683,-0.33209120332075154,0.04857142857142858,-0.0824483663588168,-0.0824483663588168,-0.0031351599347506642,-0.0028766711198568995,0.12372315054482481,-0.03514943688202551,2022-03-10,2023-03-10,100000.0,90892.37819355274,-9107.621806447263,12,,,,,,90892.37819355274,0.0,False
transformer_d8_lb126,2022-03-10_to_2023-03-10,-0.10898411900259031,-0.10898411900259031,0.19392005328206394,0.14048306423098367,-0.49788236101276406,-0.6872669990814518,-0.1842577476369497,-0.5914764529593948,0.04,-0.0824483663588168,-0.0824483663588168,-0.02892017372196254,-0.026535752643773503,0.10802461687626118,-0.3513892830460575,2022-03-10,2023-03-10,100000.0,89101.58809974097,-10898.41190025903,12,3539.75,1646.25,0.0125193215199296,8.0,126.0,90892.37819355274,-1790.7900938117673,False
transformer_d4_lb252,2022-03-10_to_2023-03-10,-0.1734530616013873,-0.1734530616013873,0.2391485684725154,0.1772914052945336,-0.6764144448383235,-0.9124161766808663,-0.2133825438274064,-0.812873717269413,0.047619047619047616,-0.0824483663588168,-0.0824483663588168,-0.09918209712234971,-0.09100469524257049,0.11146204185273427,-0.925632288462916,2022-03-10,2023-03-10,100000.0,82654.69383986127,-17345.30616013873,12,7145.333333333333,1646.25,0.014070025640625866,4.0,252.0,90892.37819355274,-8237.684353691468,False
transformer_d8_lb252,2022-03-10_to_2023-03-10,-0.18520101414660162,-0.18520101414660162,0.1969529343120889,0.14793858613112046,-0.9407861703954377,-1.252483220675018,-0.2030103069758208,-0.9122739475915362,0.040952380952380955,-0.0824483663588168,-0.0824483663588168,-0.11198568453311386,-0.10275264778778481,0.10746696414460481,-1.1789661737239507,2022-03-10,2023-03-10,100000.0,81479.89858533983,-18520.101414660166,12,7145.333333333333,1646.25,0.012261261967888439,8.0,252.0,90892.37819355274,-9412.479608212903,False
transformer_d4_lb126,2022-03-10_to_2023-03-10,-0.19504630080678886,-0.19504630080678886,0.23800703609021734,0.18367178345425567,-0.7915574474415912,-1.025722287972622,-0.2607805790366571,-0.7479326164828088,0.049523809523809526,-0.0824483663588168,-0.0824483663588168,-0.12271563835720278,-0.11259793444797206,0.11393226662774295,-1.1393221999568506,2022-03-10,2023-03-10,100000.0,80495.3699193211,-19504.630080678893,12,3539.75,1646.25,0.01366868308438069,4.0,126.0,90892.37819355274,-10397.00827423163,False
transformer_d4_lb126,2023-03-13_to_2024-03-12,0.8685573024620359,0.8685573024620359,0.20488904543554698,0.11565214357334383,3.1569159898895873,5.592784393818832,-0.11422364413548436,7.604006237375967,0.045714285714285714,0.3594734313506083,0.3594734313506083,0.37447136470012765,0.5090838711114276,0.13955956657481008,2.381739717385807,2023-03-13,2024-03-12,100000.0,187238.48695616526,87238.48695616526,12,3411.6666666666665,1628.3333333333333,0.009113479925868022,4.0,126.0,153956.87049679997,33281.616459365294,True
transformer_d4_lb252,2023-03-13_to_2024-03-12,0.8008938197971796,0.8008938197971796,0.20611075857986125,0.12003200772207304,2.9600446616651053,5.082786351942949,-0.12033457774514289,6.655558483725234,0.045714285714285714,0.3594734313506083,0.3594734313506083,0.3246995331185174,0.4414203884465713,0.1439887965417561,2.0534521901084224,2023-03-13,2024-03-12,100000.0,180340.16954728248,80340.16954728248,12,6899.5,1628.3333333333333,0.008534936601689231,4.0,252.0,153956.87049679997,26383.299050482514,True
transformer_d8_lb252,2023-03-13_to_2024-03-12,0.7615113477961941,0.7615113477961941,0.18505463249578102,0.10940047981777314,3.1551323306559618,5.3370136483646435,-0.09213046512411671,8.265575852355656,0.05523809523809524,0.3594734313506083,0.3594734313506083,0.2957306168507976,0.40203791644558584,0.12120029372969085,2.2231704610363487,2023-03-13,2024-03-12,100000.0,175846.43347826053,75846.43347826053,12,6899.5,1628.3333333333333,0.008136950153148036,8.0,252.0,153956.87049679997,21889.562981460564,True
transformer_d8_lb126,2023-03-13_to_2024-03-12,0.6932911188084938,0.6932911188084938,0.1760410409534902,0.10237885224916332,3.082562383624406,5.300484220087036,-0.09213196596747375,7.52497910500741,0.05904761904761904,0.3594734313506083,0.3594734313506083,0.24554925440966113,0.33381768745788554,0.11146493500888502,2.047590569741067,2023-03-13,2024-03-12,100000.0,168915.99980135786,68915.99980135786,12,3411.6666666666665,1628.3333333333333,0.008139362247692369,8.0,126.0,153956.87049679997,14959.129304557893,True
configured_baseline,2023-03-13_to_2024-03-12,0.5433925869138676,0.5433925869138676,0.19761625537205604,0.11798819218328473,2.2962651221372585,3.845972265371384,-0.11364746159506445,4.781387804771404,0.049523809523809526,0.3594734313506083,0.3594734313506083,0.13528705403278063,0.18391915556325933,0.13186375346362839,1.0568209237297472,2023-03-13,2024-03-12,100000.0,153956.87049679997,53956.870496799966,12,,,,,,153956.87049679997,0.0,False
configured_baseline,2024-03-13_to_2025-03-14,-0.01643011294068175,-0.01643011294068175,0.17957796605041768,0.13223977513469795,-0.0022553139932631073,-0.003062654177252653,-0.1587072134369767,-0.10352467657184479,0.05428571428571429,0.10304052132351305,0.10304052132351305,-0.10831028593658987,-0.1194706342641948,0.09546969831322029,-1.1275346830601198,2024-03-13,2025-03-14,100000.0,99285.4899958324,-714.5100041676051,12,,,,,,99285.4899958324,0.0,False
transformer_d8_lb252,2024-03-13_to_2025-03-14,-0.020611992867228368,-0.020611992867228368,0.18411372442477236,0.13717078172224184,-0.0207750058983569,-0.02788468260418826,-0.17894614195283698,-0.11518545548001176,0.047619047619047616,0.10304052132351305,0.10304052132351305,-0.11210151558382786,-0.12365251419074141,0.1009119666433299,-1.100616296907352,2024-03-13,2025-03-14,100000.0,98755.3005487519,-1244.6994512481033,12,7070.916666666667,1683.5,0.007237566390653535,8.0,252.0,99285.4899958324,-530.1894470804982,False
transformer_d8_lb126,2024-03-13_to_2025-03-14,-0.060299433641320066,-0.060299433641320066,0.1905142908018765,0.14170885286312584,-0.23087622792224657,-0.310391481808859,-0.17384596039477584,-0.34685553523584833,0.05428571428571429,0.10304052132351305,0.10304052132351305,-0.14808155440096182,-0.1633399549648331,0.10436392799402763,-1.4490218513431208,2024-03-13,2025-03-14,100000.0,95147.02544442186,-4852.974555578141,12,3554.0833333333335,1683.5,0.0075071180564449695,8.0,126.0,99285.4899958324,-4138.464551410536,False
transformer_d4_lb126,2024-03-13_to_2025-03-14,-0.05656955731410751,-0.05656955731410751,0.1924551172893757,0.1460309996357013,-0.2059304808196919,-0.2713969974764325,-0.17040271723807288,-0.3319756763917861,0.05047619047619048,0.10304052132351305,0.10304052132351305,-0.14470010444050418,-0.15961007863762056,0.10467378817087185,-1.4031475189335825,2024-03-13,2025-03-14,100000.0,94721.28158506466,-5278.718414935342,12,3554.0833333333335,1683.5,0.008143771273630362,4.0,126.0,99285.4899958324,-4564.2084107677365,False
