date,ticker,open,high,low,close,volume,ret_1,ret_20,ret_60,vol_20,sma_50,sma_200,trend_ok,llm_score,future_return,label_available_date,trend_flag,price_vs_sma50,sma50_vs_sma200,enough_history,has_model_features,has_training_label,predicted_return,selected,weight,train_sample_count
2025-03-31,AAPL,216.0682695484103,224.6409066608951,215.29165561007284,221.1660614013672,65299300,0.019412553869742055,-0.0667982716019655,-0.11199494975022306,0.019588690594666894,229.1747982788086,227.7158573150635,False,0.0,-0.04916036529847967,2025-04-29,0.0,-0.03494597546322775,0.006406848345772209,True,True,True,,False,0.0,0
2025-03-31,AMZN,188.19000244140625,191.3300018310547,184.39999389648438,190.25999450683594,63547600,-0.012764667384211892,-0.0719930224272638,-0.13277726862597805,0.020651033455560717,216.09419982910157,200.21945030212402,False,0.0,-0.015084595816512447,2025-04-29,0.0,-0.11955066513907664,0.07928675012853703,True,True,True,-0.32298886650467196,True,0.25,16010
2025-03-31,AVGO,163.51020338452625,166.93965006119086,159.66324513451602,166.43267822265625,35656400,-0.009992894893436133,-0.10371656644900795,-0.275635702136813,0.03544379298370684,206.38554931640624,181.80691703796387,False,0.0,0.14179067805032441,2025-04-29,0.0,-0.1935836652618489,0.135190853455317,True,True,True,-0.31021184393999274,True,0.25,16010
2025-03-31,COST,917.3326083722798,989.5766943776515,917.0143452666747,940.625,3102000,0.0173397034127869,-0.09654672054995095,0.03334715715879155,0.021046311715921605,979.8928405761719,911.8728958129883,False,0.0,0.048552481312292395,2025-04-29,0.0,-0.040073606980414955,0.0745936687837836,True,True,True,,False,0.0,0
2025-03-31,GOOGL,152.58092477046202,155.0025205393741,150.13939385440554,154.1056365966797,54603500,0.002008488154295218,-0.07300115651503469,-0.18215489265216467,0.0224013746701767,178.2897821044922,173.86009056091308,False,0.0,0.03569594316214908,2025-04-29,0.0,-0.13564515712761738,0.0254784840459239,True,True,True,,False,0.0,0
2025-03-31,JPM,234.59960824780165,240.92000728757085,232.59079530977615,240.3712615966797,13603000,0.010088463855431273,-0.05878294609307266,0.02860483956431681,0.019584735444804383,251.79522369384765,224.24574020385742,False,0.0,0.003370348361588338,2025-04-29,0.0,-0.04537005082772383,0.1228539880621391,True,True,True,,False,0.0,0
2025-03-31,META,562.2284810192266,577.3941949049992,552.0514847999954,575.0594482421875,21124700,-0.0006588893958900943,-0.11934539490810159,-0.014751578531944642,0.027167364421134498,650.0914782714843,574.146819152832,False,0.0,-0.03803190354597763,2025-04-29,0.0,-0.11541764895734064,0.13227393514207852,True,True,True,-0.3176035804918985,True,0.25,16010
2025-03-31,MSFT,369.7096411618319,374.20522334023684,364.449889664545,372.5379943847656,35184700,-0.009002035522357343,-0.03372033886565884,-0.10760921444434235,0.01588019700388021,401.4154400634766,417.64848892211916,False,0.0,0.04968164606086911,2025-04-29,0.0,-0.0719390506606934,-0.03886773037426128,True,True,True,,False,0.0,0
2025-03-31,NVDA,105.10522740758995,110.9338556226425,103.6255803841977,108.35446166992188,299212700,-0.011762626571884982,-0.04971096022629373,-0.19286647214401265,0.033098714391736526,124.39043716430665,127.52291580200195,False,0.0,0.005905196899981036,2025-04-29,0.0,-0.1289164654450321,-0.024564044963957143,True,True,True,-0.31947853811054033,True,0.25,16010
2025-03-31,XOM,113.87725446859893,115.92683499640438,113.87725446859893,114.97938537597656,21652300,0.010192701446618324,0.10365622083057668,0.11549488805398167,0.013595664017870256,106.96553970336915,108.9742945098877,False,0.0,-0.08887575513029422,2025-04-29,0.0,0.07491988256059812,-0.018433290305323258,True,True,True,,False,0.0,0
2025-04-30,AAPL,208.39173986928208,212.65316547487808,205.7731479657814,211.57785034179688,52286500,0.006107623740076784,-0.047896433729625265,-0.06699868837161671,0.050980209916220216,216.0883953857422,226.04601974487304,False,0.0,-0.05782496509799606,2025-05-29,0.0,-0.02087361070867999,-0.044051314729494084,True,True,True,,False,0.0,0
2025-04-30,AMZN,182.1699981689453,185.0500030517578,178.85000610351562,184.4199981689453,55176500,-0.015849304820837684,-0.04032887585910583,-0.2232330907621599,0.043418495670121196,194.02300048828124,199.0679002380371,False,0.0,0.11538878099219207,2025-05-29,0.0,-0.04949414396833807,-0.02534260794293497,True,True,True,,False,0.0,0
2025-04-30,AVGO,184.7926745025756,192.04919484739312,182.92388309823681,191.32354736328125,22768900,0.006800284890905672,0.1421197428646095,-0.11334025298546124,0.0596162152997382,184.28789215087892,182.665033493042,True,0.0,0.25718287078760116,2025-05-29,1.0,0.03817752284367204,0.00888434215790257,True,True,True,0.04522076748260478,True,0.25,16220
2025-04-30,COST,984.6039343096013,992.3216475878995,971.2272323544951,989.0794067382812,2212400,0.002823424952776765,0.042015967556901845,-0.010171818207694416,0.0228336149409819,963.1220544433594,923.1917837524414,True,0.0,0.01564028359754177,2025-05-29,1.0,0.02695125937067666,0.04325241124722301,True,True,True,0.023417697807980916,True,0.25,16220
2025-04-30,GOOGL,157.43410788690483,158.71965890557001,154.86302105563792,158.25128173828125,34981100,-0.00849151006737392,0.0110141466739051,-0.20994429852092467,0.031205201978928815,162.06515411376952,170.98219581604005,False,0.0,0.0822417481715636,2025-05-29,0.0,-0.02353295744753947,-0.05215187265383103,True,True,True,,False,0.0,0
2025-04-30,JPM,237.8193419445802,241.77296836252717,235.07840628381982,241.181396484375,12991700,0.0,0.010123691401112467,-0.07752052809080434,0.034251916363562784,237.59906829833983,228.0666064453125,True,0.0,0.08073736763308048,2025-05-29,1.0,0.015077197952380272,0.04179683295859049,True,True,True,0.030907302031207694,True,0.25,16220
