model_name,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse
configured_baseline,0.6454978715968505,0.648766167599168,0.20874785880013186,0.132946477718448,2.501855267676504,3.9283246846248043,-0.10700385355850695,6.06301685428964,0.041633466135458166,0.2026910975152516,0.2035757678503083,0.36817997156246807,0.44519039974885977,0.1369331966078687,2.3324450517670234,2025-03-17,2026-03-16,100000.0,163834.06151164105,63834.06151164105,,,
ridge_walkforward,0.5883207937811421,0.5912513029181734,0.24544707193945808,0.1492632084113006,2.015033856331565,3.3135034759041977,-0.12097873485368316,4.8872333111538815,0.04352589641434263,0.2026910975152516,0.2035757678503083,0.3206390211606269,0.3876755350678651,0.1376013141861727,2.120011631546865,2025-03-17,2026-03-16,100000.0,158832.0793781142,58832.0793781142,16467.69230769231,600.0,
mlp_walkforward,0.45947494518960896,0.4616749823327382,0.2437296653675033,0.14178231243979614,1.6777182625668405,2.8840671567548104,-0.10186468586430952,4.532237825262817,0.04731075697211155,0.2026910975152516,0.2035757678503083,0.21350773129099432,0.2580992144824299,0.13360517701497826,1.542170311174616,2025-03-17,2026-03-16,100000.0,145947.49451896088,45947.494518960884,16467.69230769231,600.0,
tree_walkforward,0.39000688445753373,0.39183175205421006,0.2539373493156933,0.1609366900409458,1.4279634785707056,2.2531422795858735,-0.13122060327046103,2.986053579151735,0.04731075697211155,0.2026910975152516,0.2035757678503083,0.15574721333622144,0.18825598420390177,0.1341436157707315,1.1908541934358658,2025-03-17,2026-03-16,100000.0,139000.68844575336,39000.68844575336,16467.69230769231,600.0,0.007851733556615382
