model_name,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,gross_total_return,gross_cagr,cost_drag_total_return,avg_daily_linear_cost,avg_daily_spread_cost,avg_daily_market_impact_cost,avg_daily_total_cost,avg_daily_max_participation_rate,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse
transformer_walkforward,0.27520471548723324,0.27520471548723324,0.19531196378407348,0.13463133278762085,1.3431336730652688,1.9485068585387593,-0.11665740340294406,2.3590848712503396,0.046666666666666676,0.18988297715899494,0.18988297715899494,0.07170599123281463,0.0853217383282383,0.13699130706866072,0.5179718263401589,0.2902887829970422,0.2902887829970422,0.015084067509808952,4.6666666666666665e-05,0.0,0.0,4.6666666666666665e-05,0.0,2025-03-19,2026-03-19,100000.0,127520.47154872332,27520.47154872332,7251.846153846154,1682.8461538461538,0.010422478724655546
mlp_walkforward,0.17307133540410669,0.17307133540410669,0.20037774277628642,0.14074039923264142,0.8971507844680753,1.2773095010518796,-0.12179899423199303,1.420958658118754,0.052380952380952375,0.18988297715899494,0.18988297715899494,-0.014128819453345098,-0.01681164175488825,0.12198523664623333,-0.09512125395777903,0.18865933635061438,0.18865933635061438,0.015588000946507696,5.238095238095238e-05,0.0,0.0,5.238095238095238e-05,0.0,2025-03-19,2026-03-19,100000.0,117307.13354041066,17307.133540410665,40669.307692307695,1682.8461538461538,
ridge_walkforward,0.1659296421337899,0.1659296421337899,0.20416473538211855,0.13979283364346723,0.8537063598480713,1.2468216610942011,-0.11995926241267985,1.383216592004078,0.047619047619047616,0.18988297715899494,0.18988297715899494,-0.02013083259867854,-0.023953335025205025,0.10141019214051372,-0.16838253022674982,0.18000017618209863,0.18000017618209863,0.014070534048308714,4.761904761904762e-05,0.0,0.0,4.761904761904762e-05,0.0,2025-03-19,2026-03-19,100000.0,116592.96421337899,16592.96421337899,40669.307692307695,1682.8461538461538,
configured_baseline,0.17602668640385022,0.17602668640385022,0.18923125572717403,0.13436032832852193,0.9519384526871335,1.3406971463817867,-0.13094366198574647,1.344293291744133,0.054285714285714284,0.18988297715899494,0.18988297715899494,-0.011645086971685648,-0.013856290755144718,0.12916944196417277,-0.08698596856956971,0.192243078956994,0.192243078956994,0.016216392553143777,5.428571428571429e-05,0.0,0.0,5.428571428571429e-05,0.0,2025-03-19,2026-03-19,100000.0,116167.6924854002,16167.692485400199,,,
hybrid_sequence_walkforward,0.1483215858482989,0.1483215858482989,0.18691743970879102,0.13257844246817366,0.8337504148980642,1.1754738553841395,-0.11922698361360207,1.2440269924884484,0.055238095238095246,0.18988297715899494,0.18988297715899494,-0.034928973780202655,-0.04156139131069603,0.11702502022867846,-0.30360981623840977,0.16442429864801333,0.16442429864801333,0.016102712799714425,5.5238095238095244e-05,0.0,0.0,5.5238095238095244e-05,0.0,2025-03-19,2026-03-19,100000.0,114832.15858482989,14832.158584829886,40669.307692307695,1682.8461538461538,0.011077913527305309
tree_walkforward,0.13266708506375147,0.13266708506375147,0.19469917313685603,0.13442520918486414,0.736912748375018,1.067331817094758,-0.13424033732326546,0.9882803314496639,0.048571428571428564,0.18988297715899494,0.18988297715899494,-0.04808531023097251,-0.05721589209524347,0.10377588018583253,-0.4615343654751141,0.14666036305956842,0.14666036305956842,0.013993277995816955,4.8571428571428576e-05,0.0,0.0,4.8571428571428576e-05,0.0,2025-03-19,2026-03-19,100000.0,113266.70850637514,13266.708506375144,40669.307692307695,1682.8461538461538,0.010379377958817751
tcn_walkforward,0.08991378962306906,0.08991378962306906,0.19098225554214227,0.13794303799745924,0.5465584739359173,0.7567106803887796,-0.10744771707168554,0.8368143323425064,0.060000000000000005,0.18988297715899494,0.18988297715899494,-0.08401598262596854,-0.09996918753592587,0.1253038852029187,-0.6942280162900705,0.10654434930505619,0.10654434930505619,0.016630559681987123,6.000000000000001e-05,0.0,0.0,6.000000000000001e-05,0.0,2025-03-19,2026-03-19,100000.0,108991.3789623069,8991.378962306902,40669.307692307695,1682.8461538461538,0.010644690706752814
lstm_walkforward,0.08957908800758463,0.08957908800758463,0.20501483618459,0.14375462769669037,0.5206470757925861,0.7425178351740831,-0.12025574332771227,0.7449048629924491,0.05619047619047619,0.18988297715899494,0.18988297715899494,-0.08429727214931615,-0.10030388915141031,0.11235151197760072,-0.7532792514539878,0.10520334718423419,0.10520334718423419,0.015624259176649558,5.619047619047619e-05,0.0,0.0,5.619047619047619e-05,0.0,2025-03-19,2026-03-19,100000.0,108957.90880075847,8957.908800758465,40669.307692307695,1682.8461538461538,0.01095754997088359
