date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value
2023-03-10,90892.37819355274,89738.55657750684,94628.40225820633,83721.91395696587,86364.55661130692,83633.37229471066,84964.70973285953
2024-03-12,153956.87049679997,151346.5537974025,166658.79382060797,154420.6027892495,157089.98101871257,155536.99947271115,153725.82749795032
2025-03-14,99285.4899958324,93819.25683419657,100982.29656140957,94802.04097343681,93360.7313798855,96638.66104812514,93004.30897464209
2026-03-17,118293.85049816918,118372.50561308843,114461.00298779385,115872.08181884889,110517.92921982502,116485.73898121408,108788.3320692594
