date,ticker,open,high,low,close,volume
2018-01-02,AAPL,39.81282777480597,40.3135296160415,39.60225003195517,40.304168701171875,102223600
2018-01-02,AMZN,58.599998474121094,59.5,58.5255012512207,59.45050048828125,53890000
2018-01-02,AVGO,20.55792876053865,21.169673539150686,20.383823577639514,21.130895614624023,33135000
2018-01-02,COST,167.5229029399832,170.60976678173998,167.08448715005713,168.49818420410156,2509300
2018-01-02,GOOGL,52.21941091232708,53.357999362017694,52.21941091232708,53.22063446044922,31766000
2018-01-02,JPM,86.0849610789395,86.3968916107191,85.42910635799697,86.34090423583984,13578800
2018-01-02,META,176.4474526579683,180.32040802242759,176.3183647528784,180.16151428222656,18151900
2018-01-02,MSFT,79.03553514560559,79.2007089630862,78.45743028490708,78.870361328125,22483800
2018-01-02,NVDA,4.84001004539694,4.931975097719363,4.808366704007385,4.928266525268555,355616000
2018-01-02,XOM,57.74679923402632,58.69753204990291,57.636571856156316,58.580413818359375,11469300
2018-01-03,AAPL,40.36734988159022,40.839976206320266,40.23398716613362,40.297157287597656,118071600
2018-01-03,AMZN,59.415000915527344,60.27450180053711,59.415000915527344,60.209999084472656,62176000
2018-01-03,AVGO,21.153053622928986,21.425291548643887,21.05333896365851,21.361980438232422,31161000
2018-01-03,COST,168.94551960385488,171.8802779799459,168.55183017367335,170.520263671875,3364400
2018-01-03,GOOGL,53.25632840928456,54.355743039102926,53.2315356137734,54.12862014770508,31318000
2018-01-03,JPM,86.26890899615563,86.77279528778732,85.96497845389344,86.42887115478516,11901000
2018-01-03,META,180.61833742444432,183.49821460754387,180.07214964063118,183.38897705078125,16886600
2018-01-03,MSFT,78.97129014557262,79.38422813157698,78.88870674895144,79.2374038696289,26061400
2018-01-03,NVDA,5.04569409396009,5.283022431580959,5.037041544979342,5.252614498138428,914704000
2018-01-03,XOM,58.66999277634975,59.91696951567973,58.43575100266808,59.730953216552734,13957700
2018-01-04,AAPL,40.36970404464927,40.58730081373873,40.262078452745044,40.484352111816406,89738400
2018-01-04,AMZN,60.25,60.79349899291992,60.233001708984375,60.47949981689453,60442000
2018-01-04,AVGO,21.493357992118636,21.50681177701655,21.24327880296096,21.369110107421875,19067000
2018-01-04,COST,171.79082726518772,172.05925316333125,167.81816220024695,169.19607543945312,3525800
2018-01-04,GOOGL,54.40484274679612,54.751476560448786,54.26450408287468,54.33888626098633,26052000
2018-01-04,JPM,87.12029439312698,88.4629552577911,86.9916531411112,87.66700744628906,12953700
2018-01-04,META,183.6173686771465,184.91829412009614,182.82293028684023,183.05133056640625,13880900
2018-01-04,MSFT,79.45767288240069,80.43954487160578,79.43932334099043,79.93484497070312,21912000
2018-01-04,NVDA,5.3339483167702495,5.390560971608226,5.258052503900598,5.280302047729492,583268000
2018-01-04,XOM,59.79294658673644,60.089190220892874,59.544928415992395,59.81361389160156,10863000
2018-01-05,AAPL,40.58025436586567,41.03182028263807,40.48900509112116,40.94525146484375,94640000
