date,ticker,open,high,low,close,volume
2018-01-02,AAPL,39.81283907938488,40.31354106279126,39.60226127674198,40.30418014526367,102223600
2018-01-02,AMZN,58.599998474121094,59.5,58.5255012512207,59.45050048828125,53890000
2018-01-02,AVGO,20.55793061616929,21.169675449999552,20.38382541755481,21.130897521972656,33135000
2018-01-02,COST,167.52287259904332,170.6097358817222,167.084456888521,168.49815368652344,2509300
2018-01-02,GOOGL,52.21940716939454,53.357995537474515,52.21940716939454,53.22063064575195,31766000
2018-01-02,JPM,86.08495347216103,86.39688397637732,85.4290988091722,86.34089660644531,13578800
2018-01-02,META,176.4474526579683,180.32040802242759,176.3183647528784,180.16151428222656,18151900
2018-01-02,MSFT,79.03552750023324,79.20070130173602,78.45742269545676,78.87035369873047,22483800
2018-01-02,NVDA,4.840010513694793,4.931975574915346,4.80836716924357,4.928267002105713,355616000
2018-01-02,XOM,57.74679547361318,58.697528227579014,57.636568102921075,58.58041000366211,11469300
2018-01-03,AAPL,40.36733841756425,40.839964608071945,40.233975739981666,40.29714584350586,118071600
2018-01-03,AMZN,59.415000915527344,60.27450180053711,59.415000915527344,60.209999084472656,62176000
2018-01-03,AVGO,21.153053622928986,21.425291548643887,21.05333896365851,21.361980438232422,31161000
2018-01-03,COST,168.94554983960506,171.88030874092235,168.55186033896595,170.52029418945312,3364400
2018-01-03,GOOGL,53.256335915730126,54.355750700510285,53.23154311672444,54.12862777709961,31318000
2018-01-03,JPM,86.26890138088154,86.77278762803334,85.96497086544842,86.42886352539062,11901000
2018-01-03,META,180.61832239618496,183.49819933966575,180.07213465781712,183.3889617919922,16886600
2018-01-03,MSFT,78.97132816443113,79.38426634923471,78.88874472805212,79.23744201660156,26061400
2018-01-03,NVDA,5.045695926171027,5.283024349971432,5.037043374048334,5.2526164054870605,914704000
2018-01-03,XOM,58.6699815355316,59.91695803594832,58.43573980672924,59.73094177246094,13957700
2018-01-04,AAPL,40.369685025177354,40.587281691749936,40.262059483979016,40.48433303833008,89738400
2018-01-04,AMZN,60.25,60.79349899291992,60.233001708984375,60.47949981689453,60442000
2018-01-04,AVGO,21.493356073679973,21.506809857377043,21.243276906843686,21.369108200073242,19067000
2018-01-04,COST,171.79081177239343,172.0592376463292,167.81814706572368,169.19606018066406,3525800
2018-01-04,GOOGL,54.40484656612366,54.7514804041107,54.26450789235017,54.338890075683594,26052000
2018-01-04,JPM,87.12027922949548,88.46293986046418,86.99163799987022,87.6669921875,12953700
2018-01-04,META,183.61738398311937,184.9183095345115,182.82294552659033,183.0513458251953,13880900
2018-01-04,MSFT,79.45765771469915,80.43952951647438,79.43930817679164,79.93482971191406,21912000
2018-01-04,NVDA,5.333949761815287,5.390562431990464,5.258053928384344,5.280303478240967,583268000
2018-01-04,XOM,59.79294658673644,60.089190220892874,59.544928415992395,59.81361389160156,10863000
2018-01-05,AAPL,40.58027326932576,41.03183939645067,40.48902395207468,40.94527053833008,94640000
2018-01-05,AMZN,60.8754997253418,61.457000732421875,60.5,61.457000732421875,70894000
2018-01-05,AVGO,21.523424147984716,21.704652445560225,21.32399332137868,21.495725631713867,28633000
2018-01-05,COST,169.4913069110726,169.71499285504183,167.0665589239617,167.98814392089844,2819000
2018-01-05,GOOGL,54.720241175148296,55.22258954087465,54.638416989259554,55.0594367980957,30250000
2018-01-05,JPM,87.84390790285198,88.07706562953373,86.65400056219237,87.10423278808594,14155000
2018-01-05,META,184.3025790494323,185.6034892997764,183.64715375976655,185.55384826660156,13574500
2018-01-05,MSFT,80.4395067862946,81.12772977932875,80.22844865467228,80.92584991455078,23407100
2018-01-05,NVDA,5.295137522253876,5.362380342670096,5.218252883177355,5.3250508308410645,580124000
2018-01-05,XOM,59.765384674072266,59.85494474158924,59.048888365393545,59.765384674072266,11047600
2018-01-08,AAPL,40.79317092895508,41.0879754571315,40.69489918275364,40.79317092895508,82271200
2018-01-08,AMZN,61.79999923706055,62.65399932861328,61.60150146484375,62.34349822998047,85590000
2018-01-08,AVGO,21.440332829340132,21.56932945798673,21.29313517624648,21.547170639038086,20971000
2018-01-08,COST,167.60343435355466,169.08869885550405,167.5407957270856,168.64132690429688,1961800
2018-01-08,GOOGL,55.094642223098475,55.49929868498433,55.04505284208835,55.25382614135742,24644000
2018-01-08,JPM,86.95144645561311,87.37755981510803,86.58964758011521,87.23284149169922,12466500
2018-01-08,META,185.90142791447593,187.58963232302543,185.03746777985856,186.97393798828125,17994700
2018-01-08,MSFT,80.93504884062375,81.2837530902186,80.38447165822558,81.00846099853516,22113000
2018-01-08,NVDA,5.448657939230332,5.562377429227488,5.403664210874558,5.488212585449219,881216000
2018-01-08,XOM,59.73095737050501,60.04098280521636,59.662064581519004,60.03409194946289,10927100
2018-01-09,AAPL,40.83996461171473,40.959289488524796,40.57323568638315,40.788490295410156,86336000
2018-01-09,AMZN,62.845001220703125,62.96649932861328,62.0880012512207,62.6349983215332,73226000
2018-01-09,AVGO,21.609684895507637,21.67220505019434,21.224278534759023,21.248811721801758,26027000
2018-01-09,COST,169.1155435459135,169.37502692844782,166.55657538646122,166.6818389892578,2241900
