model_name,window_count,avg_ending_capital,median_ending_capital,avg_profit_dollars,avg_cagr,median_cagr,avg_sharpe,median_sharpe,avg_sortino,avg_max_drawdown,avg_information_ratio,beat_baseline_windows
configured_baseline,4,119121.79440885664,119423.17490175962,19121.79440885664,0.20125483503167524,0.21247168291067875,1.1630063358555032,1.2388466898933466,1.7925045835447735,-0.1553260116215662,0.42166388531069954,0
ridge_walkforward,4,114779.5018594532,108289.3312707617,14779.501859453201,0.15371380823168826,0.10164773848234498,0.926595152659017,0.6432698613816237,1.4482214982755874,-0.14535184518555777,0.052698872617611525,1
mlp_walkforward,4,113715.77188776188,117235.84084073792,13715.771887761875,0.14361574407524497,0.18802291612328748,0.9932603305091171,1.220303369673899,1.5504104687594666,-0.16518795828293595,-0.06599372261316613,1
tree_walkforward,4,113701.14130293141,110833.82773688543,13701.14130293142,0.14535385590785138,0.12940264564387005,0.8499027791942065,0.7651978633337497,1.369980670825905,-0.16453405437674892,-0.1581334284926359,1
