model_name,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse
configured_baseline,0.24263615463178434,0.2437120947970317,0.1730481204301153,0.11996590558503568,1.3476455854624279,1.9439484446262982,-0.09889119552522296,2.464446844864678,0.04685258964143426,0.2026910975152545,0.20357576785031117,0.03321306460075735,0.040136326946720535,0.154548369131505,0.19631233570803508,2025-03-17,2026-03-16,100000.0,123275.30862234766,23275.308622347657,,,
tree_walkforward,0.1338600821744853,0.13442773164099608,0.18569482688875194,0.1313262656012683,0.7724160823849313,1.0921933251345914,-0.11756448755735138,1.1434382476716731,0.04685258964143426,0.2026910975152545,0.20357576785031117,-0.05723083465319834,-0.06914803620931509,0.12588191166379117,-0.4721418093834053,2025-03-17,2026-03-16,100000.0,113386.00821744853,13386.008217448529,49403.07692307692,1800.0,0.009055450749574125
mlp_walkforward,0.11688130935797547,0.11737329157239373,0.16581302550594218,0.11985789138161006,0.7527246819588128,1.0413294898640177,-0.11577088269562952,1.0138412080780024,0.04780876494023904,0.2026910975152545,0.20357576785031117,-0.07134815276720763,-0.08620247627791744,0.1340532342130345,-0.582277837724586,2025-03-17,2026-03-16,100000.0,111688.13093579754,11688.13093579754,49403.07692307692,1800.0,
ridge_walkforward,0.1050030918907432,0.10544275102964473,0.1777069023366497,0.12248537786305105,0.6528817122951088,0.9472280586335244,-0.10250337903542994,1.0286758546096202,0.05067729083665339,0.2026910975152545,0.20357576785031117,-0.08122451876989323,-0.09813301682066644,0.1170801753072631,-0.7417668903724558,2025-03-17,2026-03-16,100000.0,110500.30918907432,10500.309189074324,49403.07692307692,1800.0,
