date,ticker,open,high,low,close,volume,ret_1,ret_5,ret_20,ret_60,ret_120,vol_20,vol_60,sma_20,sma_50,sma_200,price_vs_sma20,price_vs_sma50,price_vs_sma200,sma20_vs_sma50,sma50_vs_sma200,drawdown_20,drawdown_60,volume_ratio_20,log_dollar_volume_20,range_pct_20,vol_ratio_20_60,momentum_20_60_gap,trend_ok,benchmark_ret_1,benchmark_ret_20,benchmark_ret_60,benchmark_vol_20,benchmark_drawdown_60,benchmark_price_vs_sma200,benchmark_sma50_vs_sma200,market_trend_ok,market_high_vol_regime,rel_ret_20,rel_ret_60,benchmark_momentum_gap,relative_momentum_gap,llm_score,future_return,label_available_date,trend_flag,market_trend_flag,market_high_vol_flag,enough_history,has_model_features,has_training_label,predicted_return,selected,weight,train_sample_count,validation_sample_count,validation_mse
2025-03-31,AAPL,216.0682695484103,224.6409066608951,215.29165561007284,221.1660614013672,65299300,0.019412553869742055,0.0063425732453969985,-0.0667982716019655,-0.1119950041544232,-0.018435296224951436,0.019588681690026012,0.018224851075231828,220.9734031677246,229.1747982788086,227.71585807800292,0.0008718616398206702,-0.03494597546322775,-0.028763023936576815,-0.03578663610780786,0.0064068449739056454,-0.07085795613275181,-0.10105222929367452,0.2227697905211854,23.189729201058142,0.027512642871613764,0.07483356704339128,0.04519673255245771,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918714965037699,-0.08460543684335775,-0.020220276206210697,0.026801516683310433,False,True,-0.027917855788688772,-0.06932646790367891,0.003788120437467568,0.04140861211499014,0.0,-0.04916036529847967,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,ABBV,197.7947251800985,203.967651647131,197.7947251800985,202.7195281982422,11093700,0.020605034551574697,0.0016732721446368615,-0.009267987043416581,0.1901847893987103,0.097250157314269,0.01391854744453372,0.014144516042540174,203.27343826293946,191.43661987304688,179.01842292785645,-0.0027249505367286098,0.05893808787826327,0.13239478307736618,0.06183152626567634,0.06936826245081429,-0.03295476506505779,-0.03295476506505779,0.5704391587008915,21.083912135008198,0.024278756039788366,-0.01597570375167623,-0.1994527764421269,True,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918714965037699,-0.08460543684335775,-0.020220276206210697,0.026801516683310433,False,True,0.029612428769860144,0.2328533256494546,0.003788120437467568,-0.20324089687959446,0.0,-0.0678774570060865,2025-04-29,1.0,0.0,1.0,True,True,True,0.01590017224428056,True,0.125,45630.0,1800.0,0.008408277678086457
2025-03-31,AMD,100.23999786376953,102.81999969482422,98.80000305175781,102.73999786376953,30865300,-0.004650294044341807,-0.09758454773169756,0.04591259648488655,-0.1494329242068705,-0.3988297160150863,0.02995535056511067,0.027886595895400598,103.71049995422364,109.18039978027343,137.60005043029784,-0.009357799749133089,-0.05898862734946264,-0.2533433124298663,-0.050099650093405224,-0.20653808309772792,-0.10513021471552808,-0.2069471598335444,-0.09527869923064991,21.989038058519156,0.03683841037691893,0.07418455366405174,0.19534552069175704,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918714965037699,-0.08460543684335775,-0.020220276206210697,0.026801516683310433,False,True,0.08479301229816327,-0.1067643879561262,0.003788120437467568,0.19155740025428947,0.0,-0.06501849760629042,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,AMZN,188.19000244140625,191.3300018310547,184.39999389648438,190.25999450683594,63547600,-0.012764667384211892,-0.06395749459475064,-0.0719930224272638,-0.13277726862597805,0.020106161119759935,0.020651033455560717,0.018006056354824433,198.18349990844726,216.09419982910157,200.21945030212402,-0.03998065129171535,-0.11955066513907664,-0.04974269872512194,-0.08288376057672542,0.07928675012853703,-0.08686890982191908,-0.2139965445518066,0.37582658257966717,22.935323987905935,0.03004023041858092,0.1468937477821235,0.060784246198714253,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918714965037699,-0.08460543684335775,-0.020220276206210697,0.026801516683310433,False,True,-0.03311260661398707,-0.09010873237523376,0.003788120437467568,0.056996125761246685,0.0,-0.015084595816512447,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,AVGO,163.51020338452625,166.93965006119086,159.66324513451602,166.43267822265625,35656400,-0.009992984751705736,-0.12454910474286185,-0.10371649279909434,-0.27563565403122026,-0.046724544902827736,0.03544382419828096,0.037365197855787693,185.41384506225586,206.3855502319336,181.80691749572753,-0.10237189587016204,-0.19358366883911582,-0.08456355503322677,-0.10161421255562697,0.13519085563278233,-0.14129668048485855,-0.31370403303482963,-0.001922319267349315,22.614300000257888,0.04363515892097345,-0.05142147687595133,0.17191916123212592,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918714965037699,-0.08460543684335775,-0.020220276206210697,0.026801516683310433,False,True,-0.06483607698581761,-0.23296711778047596,0.003788120437467568,0.16813104079465835,0.0,0.14179067805032441,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,BAC,39.88293915252898,40.97830459465042,39.70689841114457,40.812042236328125,36390000,0.011636250029785522,-0.031112246957778922,-0.07828489790355375,-0.044520072957987766,0.0527781891572614,0.021285027053356446,0.016457635392469805,40.67987880706787,43.182819595336916,41.25458629608154,0.003248864872166024,-0.05490093933710616,-0.010727148166686407,-0.057961495143761366,0.04673985300486505,-0.03581338819024982,-0.12037403518591994,-0.1818046300549533,21.313615907035498,0.026572956782207426,0.29332231184896806,-0.033764824945565985,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918714965037699,-0.08460543684335775,-0.020220276206210697,0.026801516683310433,False,True,-0.039404482090277027,-0.001851536707243473,0.003788120437467568,-0.037552945383033554,0.0,-0.04169645240625153,2025-04-29,0.0,0.0,1.0,True,True,True,-0.33408124654100185,True,0.125,45630.0,1800.0,0.008408277678086457
2025-03-31,COST,917.3326083722798,989.5766943776515,917.0143452666747,940.625,3102000,0.0173397034127869,0.02131668551084487,-0.09654672054995095,0.03334715715879155,0.07357318708610827,0.02104631171592157,0.01636164578163336,934.1643463134766,979.8928405761719,911.8728985595703,0.0069159711693336234,-0.040073606980414955,0.0315308213303056,-0.04666683168723551,0.07459366554708291,-0.09732270713220026,-0.12172421803068634,0.1687577709958179,21.63134526173349,0.02645156704981285,0.2863199703019452,-0.1298938777087425,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918714965037699,-0.08460543684335775,-0.020220276206210697,0.026801516683310433,False,True,-0.05766630473667422,0.07601569340953584,0.003788120437467568,-0.13368199814621007,0.0,0.048552481312292395,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,CRM,262.8340991027866,266.7088277009643,257.50887897015684,266.619384765625,7585800,-0.005963705309330436,-0.06154715566072344,-0.0842830885435708,-0.19732009563526953,-0.06632087795024111,0.0206349125022191,0.018786586093258676,278.38956756591796,306.28326599121095,289.53961769104006,-0.042279539794557786,-0.12950064737367706,-0.07916095596241557,-0.09107157171979952,0.05782852251341164,-0.08086461965109693,-0.2544520810968106,0.0835688436461497,21.390265265835808,0.02780580437760788,0.09838543308428305,0.11303700709169873,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918714965037699,-0.08460543684335775,-0.020220276206210697,0.026801516683310433,False,True,-0.04540267273029408,-0.15465155938452524,0.003788120437467568,0.10924888665423116,0.0,-0.0006678811764414538,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,CVX,159.03320975958107,161.64564117424183,158.9757959309468,160.08583068847656,10675300,0.007225045621559234,0.013755885216240271,0.09275584974247075,0.1678094253043474,0.13354755166063326,0.011673828927525243,0.01331900591550709,153.0671844482422,149.96215942382813,143.80807334899902,0.045853369979557135,0.06750817208517623,0.11319084499500986,0.020705390188724415,0.04279374538238989,-0.004048402743451196,-0.004048402743451196,0.12568692652871638,21.097374358950905,0.019130884615162318,-0.12352100437664015,-0.07505357556187664,True,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918714965037699,-0.08460543684335775,-0.020220276206210697,0.026801516683310433,False,True,0.13163626555574748,0.21047796155509169,0.003788120437467568,-0.07884169599934421,0.0,-0.16731432503906774,2025-04-29,1.0,0.0,1.0,True,True,True,0.014709710204082547,True,0.125,45630.0,1800.0,0.008408277678086457
2025-03-31,GOOGL,152.58093987828155,155.00253588696825,150.13940872047658,154.10565185546875,54603500,0.00200868678157895,-0.07776713653710166,-0.07300097964175378,-0.18215481167312808,-0.07221633012833029,0.022401412402662742,0.02072189991054412,164.667822265625,178.2897805786133,173.86009063720704,-0.06414228514614384,-0.1356450641459006,-0.1136226186776802,-0.07640347230660227,0.025478474819443653,-0.1095243154548432,-0.24983965406427455,0.5795469305093075,22.458064359314985,0.02813361248770982,0.08105012085614893,0.1091538320313743,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918714965037699,-0.08460543684335775,-0.020220276206210697,0.026801516683310433,False,True,-0.03412056382847706,-0.1394862754223838,0.003788120437467568,0.10536571159390673,0.0,0.035695840612594676,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
