date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value
2023-03-09,88810.31601312276,92588.55369521044,69056.75576761803,87075.88880591451
2024-03-11,152019.8966414291,161826.9574922137,160277.77612050963,158141.28773283307
2025-03-13,111168.10704365709,101620.01079517939,97371.21559227299,99680.38026324152
2026-03-16,124263.61106803501,113811.69425517593,107257.02801453107,111838.03575461484
