model_name,window_label,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,rebalance_count,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,baseline_ending_capital,ending_capital_gap_vs_baseline,beat_baseline
ridge_walkforward,2022-03-09_to_2023-03-09,-0.0741144630478956,-0.0741144630478956,0.2145144349904725,0.15910375404485505,-0.2512743478367659,-0.3387850593305741,-0.20158036881326724,-0.3676670674045203,0.045714285714285714,-0.04405413223153365,-0.04405413223153365,-0.03144564125428351,-0.030060330816361946,0.14402097735570626,-0.2537945642224262,2022-03-09,2023-03-09,100000.0,92588.55369521044,-7411.446304789555,12,26565.0,1800.0,,88810.31601312276,3778.2376820876816,True
configured_baseline,2022-03-09_to_2023-03-09,-0.11017750165684914,-0.11017750165684914,0.2018064118717363,0.14805833633881652,-0.4772517593561469,-0.6505034940736875,-0.24295237912855516,-0.4534942281777373,0.051428571428571435,-0.04405413223153365,-0.04405413223153365,-0.06917062111442784,-0.06612336942531549,0.15175068995558286,-0.5203418288992663,2022-03-09,2023-03-09,100000.0,88810.31601312276,-11189.683986877237,12,,,,88810.31601312276,0.0,False
mlp_walkforward,2022-03-09_to_2023-03-09,-0.12924111194085486,-0.12924111194085486,0.2056633132653386,0.15091598060074946,-0.5697517355147286,-0.7764388449665219,-0.24449580680180583,-0.5286025704548005,0.058095238095238096,-0.04405413223153365,-0.04405413223153365,-0.08911276525330802,-0.08518697970932121,0.1348176975310022,-0.7404576544912158,2022-03-09,2023-03-09,100000.0,87075.88880591451,-12924.11119408549,12,26565.0,1800.0,,88810.31601312276,-1734.427207208253,False
tree_walkforward,2022-03-09_to_2023-03-09,-0.3094324423238197,-0.3094324423238197,0.22369829239919778,0.17792777084927286,-1.541319053458848,-1.9378112739532543,-0.32814953594059204,-0.9429616940852208,0.05619047619047619,-0.04405413223153365,-0.04405413223153365,-0.2776080937634867,-0.2653783100922861,0.14961285946721634,-2.188583306944401,2022-03-09,2023-03-09,100000.0,69056.75576761803,-30943.24423238197,12,26565.0,1800.0,0.011276683570572077,88810.31601312276,-19753.560245504734,False
ridge_walkforward,2023-03-10_to_2024-03-11,0.6030448628117142,0.6030448628117142,0.20125630606463082,0.12252598956919585,2.4471931285239212,4.019661877493573,-0.14060672543137598,4.288876374594429,0.03714285714285714,0.32559709827944117,0.32559709827944117,0.20930022017427952,0.27744776453227304,0.133728485422292,1.5200716761739368,2023-03-10,2024-03-11,100000.0,161826.9574922137,61826.957492213696,12,34090.0,1800.0,,152019.8966414291,9807.06085078459,True
tree_walkforward,2023-03-10_to_2024-03-11,0.5893499513635452,0.5893499513635452,0.18107619830999463,0.10507995584142546,2.651097827626458,4.568432791301526,-0.12534309502231,4.701894039385623,0.04476190476190477,0.32559709827944117,0.32559709827944117,0.1989690935703179,0.263752853084104,0.11952513619460366,1.5964386719326156,2023-03-10,2024-03-11,100000.0,160277.77612050963,60277.77612050963,12,34090.0,1800.0,0.007887417883949463,152019.8966414291,8257.879479080526,True
mlp_walkforward,2023-03-10_to_2024-03-11,0.5698928046501284,0.5698928046501284,0.18676263779852512,0.11365311987013889,2.5101021627843356,4.124772831586435,-0.14829465892461513,3.842975929024056,0.05047619047619048,0.32559709827944117,0.32559709827944117,0.18429106904938974,0.2442957063706872,0.12404573224798864,1.4475075564954811,2023-03-10,2024-03-11,100000.0,158141.28773283307,58141.287732833065,12,34090.0,1800.0,,152019.8966414291,6121.391091403959,True
configured_baseline,2023-03-10_to_2024-03-11,0.5111046205869392,0.5111046205869392,0.18433603984273508,0.1120163570354172,2.3332129697158295,3.83957531140864,-0.13631136849741632,3.749537740108792,0.051428571428571435,0.32559709827944117,0.32559709827944117,0.13994261344436976,0.185507522307498,0.12311279493907243,1.1441464937208756,2023-03-10,2024-03-11,100000.0,152019.8966414291,52019.896641429106,12,,,,152019.8966414291,0.0,False
configured_baseline,2024-03-12_to_2025-03-13,0.14011410754594933,0.14011410754594933,0.1717347775349509,0.11989388786928708,0.8496445085117414,1.2170220955061288,-0.1508718081452326,0.928696416305108,0.05238095238095238,0.09234317880334642,0.09234317880334642,0.04373252808237016,0.047770928742602914,0.1056961690320879,0.4595385521981971,2024-03-12,2025-03-13,100000.0,111168.10704365709,11168.107043657088,12,,,,111168.10704365709,0.0,False
ridge_walkforward,2024-03-12_to_2025-03-13,0.025807622113169337,0.025807622113169337,0.19794644189558966,0.1435540850040285,0.2279120666807922,0.314267494814008,-0.1902232993892532,0.13567014238544617,0.040952380952380955,0.09234317880334642,0.09234317880334642,-0.06091085473986868,-0.06653555669017708,0.11632570290567355,-0.44897784577302147,2024-03-12,2025-03-13,100000.0,101620.01079517939,1620.0107951793907,12,41622.5,1800.0,,111168.10704365709,-9548.096248477697,False
