date,ticker,open,high,low,close,volume,ret_1,ret_20,ret_60,vol_20,sma_50,sma_200,trend_ok,horizon_bucket,llm_score,document_count,section_count,avg_confidence,avg_risk_flag,enough_history,score,selected,weight
2018-01-31,AAPL,39.04306324959199,39.41040247806591,38.95649440447249,39.17408752441406,129915600,0.002754994171489278,-0.028039092143210653,,0.00946165852312653,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,AMZN,72.56500244140625,73.62899780273438,72.50199890136719,72.54450225830078,128494000,0.009090198056924459,0.2202504884311376,,0.009819129832596956,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,AVGO,19.78473790393124,20.03323355991975,19.377963740928998,19.628833770751953,80482000,0.029255355324039778,-0.07108376488309609,,0.016352048510364117,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,COST,176.65821697732324,177.5798019934772,173.66977598022766,174.3587188720703,2682300,-0.015360491896963313,0.0347811833977123,,0.009839787207506839,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,GOOGL,58.7053076642863,58.829782438719334,58.124608249275546,58.626461029052734,36022000,0.004119493066686353,0.10157396328659019,,0.007432297781788142,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,JPM,92.98138994942803,93.79342108855073,92.58743679902236,92.99746704101562,13141400,0.0048649045687136905,0.07709637838152128,,0.006974276069045767,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,META,187.06331145688196,188.5131904064215,183.93516841595468,185.5935821533203,43275100,-0.001229098731822642,0.030151100209916626,,0.015685160372794795,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,MSFT,86.02788061431198,87.54197271331725,85.80765120021006,87.18409729003906,48756300,0.024476864224514783,0.10541024860957893,,0.01062382419734926,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,NVDA,6.075846916184319,6.162372886297122,6.043214307710105,6.0765886306762695,478576000,0.012689602209054351,0.2330071865180825,,0.018992085378601073,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,XOM,59.63449570174256,60.26143205811083,59.47604284115805,60.14431381225586,14404700,0.005992000924418095,0.02669670301891003,,0.008596717258731498,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-02-28,AAPL,42.112989370138706,42.43249005630509,41.82872986524554,41.84517288208008,151128400,-0.0015135504545794598,0.07112784856378807,,0.022205815705078447,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-02-28,AMZN,75.97550201416016,76.43499755859375,75.5999984741211,75.62249755859375,90300000,0.0003108313001467522,0.05190495025043784,,0.023383184697156927,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-02-28,AVGO,20.107628810288087,20.14007456603045,19.46660211225915,19.504589080810547,28834000,-0.021246167449049058,0.022740474512153996,,0.023995310199109266,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-02-28,COST,171.89169486269367,173.82950308661356,171.25472067938082,171.26368713378906,2179800,0.00420832214582556,-0.03283877200855634,,0.017388563182420477,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-02-28,GOOGL,55.64013458167167,55.92032007840852,54.69792496509287,54.74354553222656,49292000,-0.0121609853518454,-0.062384796495696615,,0.024961799580241598,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-02-28,JPM,94.72605738160553,95.26472895826038,92.73216041246656,92.86080169677734,17735600,-0.01584852892555033,0.003388195444633091,,0.020653970592945138,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-02-28,META,181.03542565076677,181.61140412912914,176.90427907330402,177.08303833007812,18783000,-0.01730404129023433,-0.047028546245045044,,0.02421831864275988,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-02-28,MSFT,87.4368932915432,88.2389846058999,86.3213453695993,86.4504165649414,31167300,-0.004564800854171769,0.015855579472439985,,0.024073164989515495,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-02-28,NVDA,6.097679313640413,6.1372585337154115,5.974736308202527,5.986362934112549,523116000,-0.016500121896420028,-0.0023468977608276376,,0.035164849187423575,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
