date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value
2025-03-14,116333.77347774473,105986.81458401275,102834.11695823236,115986.9391519735
2026-03-17,123245.51520209137,109235.07227361626,118406.03021549803,116758.39716004915
