model_name,window_label,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,rebalance_count,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,baseline_ending_capital,ending_capital_gap_vs_baseline,beat_baseline
configured_baseline,2024-03-13_to_2025-03-14,0.1575003783395892,0.1575003783395892,0.15619753873570663,0.1094741593027416,1.0147847338077414,1.4478930806767005,-0.15087173085185557,1.043935649510394,0.04666666666666666,0.10304052132351482,0.10304052132351482,0.04937248991608145,0.054459857016074364,0.09447837887567596,0.5426263119212581,2024-03-13,2025-03-14,100000.0,116333.77347774473,16333.773477744733,12,,,,116333.77347774473,0.0,False
mlp_walkforward,2024-03-13_to_2025-03-14,0.15986939151973512,0.15986939151973512,0.1433361814535286,0.09576825380712405,1.106561627885715,1.6561888932795816,-0.1575268210536913,1.0148709308698953,0.04285714285714286,0.10304052132351482,0.10304052132351482,0.051520201749281735,0.056828870196220294,0.08556533149025976,0.6003587423518073,2024-03-13,2025-03-14,100000.0,115986.9391519735,15986.939151973507,12,20188.333333333332,1282.5,,116333.77347774473,-346.83432577122585,False
ridge_walkforward,2024-03-13_to_2025-03-14,0.05986814584012756,0.05986814584012756,0.16536868583916395,0.12119042104369929,0.4345128227199413,0.5929083656500593,-0.181089647017891,0.33059949492426155,0.0419047619047619,0.10304052132351482,0.10304052132351482,-0.03913942837891904,-0.04317237548338726,0.08789465210143411,-0.40259114931625506,2024-03-13,2025-03-14,100000.0,105986.81458401275,5986.8145840127545,12,20188.333333333332,1282.5,,116333.77347774473,-10346.958893731979,False
tree_walkforward,2024-03-13_to_2025-03-14,0.02834116958232369,0.02834116958232369,0.1734453662837428,0.12885167688925772,0.248106393561052,0.33397240414278784,-0.19268664048813844,0.14708424782603616,0.05238095238095238,0.10304052132351482,0.10304052132351482,-0.06772131240614898,-0.07469935174119113,0.09282644190238493,-0.6916942829793656,2024-03-13,2025-03-14,100000.0,102834.11695823236,2834.1169582323637,12,20188.333333333332,1282.5,0.005816495537788672,116333.77347774473,-13499.65651951237,False
configured_baseline,2025-03-17_to_2026-03-17,0.24233578705011283,0.24233578705011283,0.17271849152158092,0.11973149927052192,1.3434701657294532,1.9380208369792673,-0.09889114415638689,2.45053072362963,0.047619047619047616,0.20269109751525205,0.20269109751525205,0.03296331835894217,0.03964468953486078,0.1542055599581047,0.1944119036841245,2025-03-17,2026-03-17,100000.0,123245.51520209137,23245.515202091367,13,,,,123245.51520209137,0.0,False
tree_walkforward,2025-03-17_to_2026-03-17,0.19679086422184944,0.19679086422184944,0.17407333181878024,0.11721871294347727,1.119181939498175,1.6620190089767806,-0.11498010101390477,1.71152105874434,0.05619047619047619,0.20269109751525205,0.20269109751525205,-0.004905859289714876,-0.0059002332934026125,0.10864666279253442,-0.06666578294159775,2025-03-17,2026-03-17,100000.0,118406.03021549803,18406.03021549803,13,26465.0,1800.0,0.009172238819176648,123245.51520209137,-4839.484986593336,False
mlp_walkforward,2025-03-17_to_2026-03-17,0.18458557862690728,0.18458557862690728,0.15519304087526872,0.10725040203798564,1.1695927430956392,1.6924193377137322,-0.10224826138326981,1.8052686288229616,0.05333333333333334,0.20269109751525205,0.20269109751525205,-0.015054172202447202,-0.018105518888344774,0.11760618398462858,-0.17473647112752674,2025-03-17,2026-03-17,100000.0,116758.39716004915,16758.39716004915,13,26465.0,1800.0,,123245.51520209137,-6487.118042042217,False
ridge_walkforward,2025-03-17_to_2026-03-17,0.10699544607241007,0.10699544607241007,0.17632865842289835,0.12273640308576403,0.6646462448716844,0.9548608052506524,-0.10441762310729008,1.0246876234912115,0.05333333333333334,0.20269109751525205,0.20269109751525205,-0.07956793863407507,-0.09569565144284198,0.11303241024278805,-0.7508161870792399,2025-03-17,2026-03-17,100000.0,109235.07227361626,9235.072273616257,13,26465.0,1800.0,,123245.51520209137,-14010.44292847511,False
