date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value
2023-03-10,96254.91461445669,86125.16620969218,88215.36243452797,89322.07327202702
2024-03-12,143580.22132426727,141443.19803917743,151877.95629984606,135223.08009282872
2025-03-14,116333.77180802042,100588.22664973765,96907.99725828948,107209.88702876959
2026-03-17,122956.29250334774,114275.75712612206,123751.34924209163,125139.89001816664
