model_name,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,gross_total_return,gross_cagr,cost_drag_total_return,avg_daily_linear_cost,avg_daily_spread_cost,avg_daily_market_impact_cost,avg_daily_total_cost,avg_daily_max_participation_rate,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse
transformer_walkforward,0.2676710478119404,0.2676710478119404,0.19536147951215654,0.13477598253013856,1.3124837561834637,1.9024811663779633,-0.1170852024517528,2.2861219198236378,0.046666666666666676,0.18988297715899494,0.18988297715899494,0.06537455543626214,0.07778807065294546,0.13699613528314764,0.47473113393630656,0.2902887829970422,0.2902887829970422,0.022617735185101795,4.6666666666666665e-05,2.3333333333333332e-05,1.63916139759422e-07,7.016391613975942e-05,5.893794699875656e-07,2025-03-19,2026-03-19,100000.0,126767.10478119404,26767.104781194037,7251.846153846154,1682.8461538461538,0.010422478724655546
mlp_walkforward,0.16529634821560646,0.16529634821560646,0.2004291417444421,0.14092385819150216,0.8637733137801502,1.2285027259716892,-0.12222378921136046,1.352407328247376,0.052380952380952375,0.18988297715899494,0.18988297715899494,-0.020663064700776168,-0.024586628943388478,0.12204611864285415,-0.14950982510555944,0.18865933635061438,0.18865933635061438,0.023362988135007923,5.238095238095238e-05,2.619047619047619e-05,1.7343324991804154e-07,7.874486182134662e-05,5.595246221554959e-07,2025-03-19,2026-03-19,100000.0,116529.63482156064,16529.63482156064,40669.307692307695,1682.8461538461538,
ridge_walkforward,0.15890364618140107,0.15890364618140107,0.20419759384911762,0.13992383539142952,0.82398322258745,1.2024784122999033,-0.12038500388947182,1.3199621302275661,0.047619047619047616,0.18988297715899494,0.18988297715899494,-0.026035611545230375,-0.030979330977593866,0.1014343505776843,-0.22790155642304008,0.18000017618209863,0.18000017618209863,0.021096530000697555,4.761904761904762e-05,2.380952380952381e-05,1.640540794205553e-07,7.159262550799199e-05,5.629420922612254e-07,2025-03-19,2026-03-19,100000.0,115890.36461814011,15890.364618140113,40669.307692307695,1682.8461538461538,
configured_baseline,0.16790947262966838,0.16790947262966838,0.18932465959865827,0.13460589582969282,0.914957078683589,1.2868971035883976,-0.13157335233324707,1.2761662574682273,0.054285714285714284,0.18988297715899494,0.18988297715899494,-0.01846694586873676,-0.02197350452932656,0.12924660046630249,-0.14041762229090202,0.192243078956994,0.192243078956994,0.02433360632732562,5.428571428571429e-05,2.7142857142857144e-05,2.8798138022228187e-07,8.171655280879371e-05,1.330788016125867e-06,2025-03-19,2026-03-19,100000.0,115365.87565210974,15365.875652109738,,,
hybrid_sequence_walkforward,0.14029321603282163,0.14029321603282163,0.18698557579042663,0.1327888786250917,0.7959737765084437,1.1208439777153734,-0.11965329186992113,1.1724977544733062,0.055238095238095246,0.18988297715899494,0.18988297715899494,-0.041676166545869475,-0.049589761126173304,0.11707359633785636,-0.3633340412516864,0.16442429864801333,0.16442429864801333,0.0241310826151917,5.5238095238095244e-05,2.7619047619047622e-05,1.8602378720923188e-07,8.30431666443521e-05,5.71061767239676e-07,2025-03-19,2026-03-19,100000.0,114029.32160328217,14029.321603282166,40669.307692307695,1682.8461538461538,0.011077913527305309
tree_walkforward,0.12567940438931258,0.12567940438931258,0.19483985772679044,0.13466590034037135,0.7047451072931863,1.019652607613327,-0.1346594561267096,0.9333128768250251,0.048571428571428564,0.18988297715899494,0.18988297715899494,-0.05395788829837456,-0.06420357276968236,0.10394856755636918,-0.5200648996710993,0.14666036305956842,0.14666036305956842,0.020980958670255845,4.8571428571428576e-05,2.4285714285714288e-05,1.7407279352354573e-07,7.30312156506664e-05,5.500152381130976e-07,2025-03-19,2026-03-19,100000.0,112567.94043893125,12567.940438931255,40669.307692307695,1682.8461538461538,0.010379377958817751
lstm_walkforward,0.08179233316817203,0.08179233316817203,0.20524862101116026,0.14413704605795846,0.4853348544202027,0.6911083050664383,-0.12068141732081217,0.6777541645101851,0.05619047619047619,0.18988297715899494,0.18988297715899494,-0.0908414071515703,-0.10809064399082291,0.11270768384772155,-0.8141248676655312,0.10520334718423419,0.10520334718423419,0.02341101401606216,5.619047619047619e-05,2.8095238095238096e-05,1.827990285873506e-07,8.446851331430163e-05,5.318617776417463e-07,2025-03-19,2026-03-19,100000.0,108179.2333168172,8179.2333168172045,40669.307692307695,1682.8461538461538,0.01095754997088359
tcn_walkforward,0.08163028674726047,0.08163028674726047,0.19109335199775881,0.1382117066973007,0.5064161380563872,0.7001777174989823,-0.11035810556633507,0.7396854660412178,0.060000000000000005,0.18988297715899494,0.18988297715899494,-0.09097759400693528,-0.10825269041173446,0.12540756121610522,-0.7543379326693267,0.10654434930505619,0.10654434930505619,0.024914062557795713,6.000000000000001e-05,3.0000000000000004e-05,1.992571864994944e-07,9.01992571864995e-05,5.582618345641446e-07,2025-03-19,2026-03-19,100000.0,108163.02867472605,8163.028674726054,40669.307692307695,1682.8461538461538,0.010644690706752814
