date,strategy,benchmark
2018-01-02,1.0,1.0
2018-01-03,1.0,1.0063250377371769
2018-01-04,1.0,1.0105662808659746
2018-01-05,1.0,1.0173010144684589
2018-01-08,1.0,1.0191614672579736
2018-01-09,1.0,1.0214682820524135
2018-01-10,1.0,1.0199057255656523
2018-01-11,1.0,1.0273467004784222
2018-01-12,1.0,1.0340439316959993
2018-01-16,1.0,1.0305095088165341
2018-01-17,1.0,1.040331917334194
2018-01-18,1.0,1.0385833284337935
2018-01-19,1.0,1.0433082429727412
2018-01-22,1.0,1.051791758455308
2018-01-23,1.0,1.054023697133055
2018-01-24,1.0,1.0536144515536727
2018-01-25,1.0,1.0540611995179623
2018-01-26,1.0,1.0662647200077087
2018-01-29,1.0,1.059195681269096
2018-01-30,1.0,1.0483315684269285
2018-01-31,1.0,1.0488523562626215
2018-02-01,1.0,1.0476614786437748
2018-02-02,1.0,1.0248540462500253
2018-02-05,1.0,0.9819922939353305
2018-02-06,1.0,1.001339150341336
2018-02-07,1.0,0.995907415553056
2018-02-08,1.0,0.958552081163652
2018-02-09,1.0,0.972950809864967
2018-02-12,1.0,0.9872381249630926
2018-02-13,1.0,0.9896941130518719
2018-02-14,1.0,1.0030509444489972
2018-02-15,1.0,1.0158498715848867
2018-02-16,1.0,1.0161477678876405
2018-02-20,1.0,1.0097851634389956
2018-02-21,1.0,1.004762416923855
2018-02-22,1.0,1.0060644508396481
2018-02-23,1.0,1.0221007407975387
2018-02-26,1.0,1.0339696988449136
2018-02-27,1.0,1.0210590364730312
2018-02-28,1.0,1.0107152611806316
2018-03-01,1.0,0.9960191507890488
2018-03-02,1.0,1.0011534395605004
2018-03-05,1.0,1.0127245013051216
2018-03-06,1.0,1.0152919029970902
2018-03-07,1.0,1.0149198381698115
2018-03-08,1.0,1.0198309781020807
2018-03-09,1.0,1.0375786762082682
2018-03-12,1.0,1.0362761920065497
2018-03-13,1.0,1.0295792824217764
2018-03-14,1.0,1.0242960776622285
2018-03-15,1.0,1.0231798188538317
2018-03-16,1.0,1.0242892590467907
2018-03-19,1.0,1.0104303588431456
2018-03-20,1.0,1.0121487142600016
2018-03-21,1.0,1.0102059877993095
2018-03-22,1.0,0.9849536958117874
2018-03-23,1.0,0.9639600151244607
2018-03-26,1.0,0.9903330044530703
2018-03-27,1.0,0.973485492237778
2018-03-28,1.0,0.9706093230542918
2018-03-29,1.0,0.9830111623307775
2018-04-02,1.0,0.9617931749261753
2018-04-03,1.0,0.9741206526984539
2018-04-04,1.0,0.9845429063949476
2018-04-05,1.0,0.9923129759924266
2018-04-06,1.0,0.9701982763312089
2018-04-09,1.0,0.9749797982436016
2018-04-10,1.0,0.9904823707270919
2018-04-11,1.0,0.9852901237244202
2018-04-12,1.0,0.9933961066220461
2018-04-13,1.0,0.990482370727092
2018-04-16,1.0,0.9986257273565037
2018-04-17,1.0,1.0093096615020585
2018-04-18,1.0,1.0100567501784095
2018-04-19,1.0,1.0044533277995336
2018-04-20,1.0,0.9959362338522642
2018-04-23,1.0,0.995786996231364
2018-04-24,1.0,0.9823761305232231
2018-04-25,1.0,0.9848041365580837
2018-04-26,1.0,0.994815279204934
2018-04-27,1.0,0.995749686826139
2018-04-30,1.0,0.9880916097708957
2018-05-01,1.0,0.9898472745929768
2018-05-02,1.0,0.9831980953162672
2018-05-03,1.0,0.9810313837711034
2018-05-04,1.0,0.9937323415549969
2018-05-07,1.0,0.9970944335782588
2018-05-08,1.0,0.9970944335782588
2018-05-09,1.0,1.006732160540055
2018-05-10,1.0,1.0161458380908186
2018-05-11,1.0,1.0192462496650196
2018-05-14,1.0,1.0197319151985524
2018-05-15,1.0,1.012709062930546
2018-05-16,1.0,1.016967288271377
2018-05-17,1.0,1.0161081427262293
2018-05-18,1.0,1.0135680798225721
2018-05-21,1.0,1.0211885901663473
2018-05-22,1.0,1.0183496660615254
2018-05-23,1.0,1.021151152108001
2018-05-24,1.0,1.0190596383123338
2018-05-25,1.0,1.0166309890118659
2018-05-29,1.0,1.0049390576596278
2018-05-30,1.0,1.0183496660615257
2018-05-31,1.0,1.0121115335078987
2018-06-01,1.0,1.0220476713849342
2018-06-04,1.0,1.0269041337405806
2018-06-05,1.0,1.0276512867434926
2018-06-06,1.0,1.0362428708480906
2018-06-07,1.0,1.036131071285537
2018-06-08,1.0,1.03919391614827
2018-06-11,1.0,1.0405762939384184
2018-06-12,1.0,1.0419207190577344
2018-06-13,1.0,1.0385963223990617
2018-06-14,1.0,1.0412113257459727
2018-06-15,1.0,1.0398828536137183
2018-06-18,1.0,1.0377440597959127
2018-06-19,1.0,1.033766491239559
2018-06-20,1.0,1.035530132555171
2018-06-21,1.0,1.0290388106584998
2018-06-22,1.0,1.0309148948022726
2018-06-25,1.0,1.0168810263534342
2018-06-26,1.0,1.019132455979083
2018-06-27,1.0,1.0106897878625816
2018-06-28,1.0,1.0164684357928937
2018-06-29,1.0,1.0179318650495655
2018-07-02,1.0,1.0201078396194747
2018-07-03,1.0,1.0165056808715578
2018-07-05,1.0,1.024798403774991
2018-07-06,1.0,1.0334665364868614
2018-07-09,1.0,1.0427721454155938
2018-07-10,1.0,1.0465242493765792
2018-07-11,1.0,1.0388700962415407
