date,ticker,open,high,low,close,volume,ret_1,ret_20,ret_60,vol_20,sma_50,sma_200,trend_ok,horizon_bucket,llm_score,document_count,section_count,avg_confidence,avg_risk_flag,enough_history,score,selected,weight
2018-01-31,AAPL,39.043070853468734,39.41041015348423,38.95650199148942,39.174095153808594,129915600,0.002754993633458991,-0.02803862686616887,,0.009461495918066649,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,AMZN,72.56500244140625,73.62899780273438,72.50199890136719,72.54450225830078,128494000,0.009090198056924459,0.2202504884311376,,0.009819129832596956,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,AVGO,19.78474174892715,20.03323745320868,19.3779675068718,19.62883758544922,80482000,0.029255555351083373,-0.07108350050886048,,0.016352018802413885,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,COST,176.65826335740368,177.5798486155118,173.66982157571888,174.3587646484375,2682300,-0.01536040308024944,0.03478126765589962,,0.009839785903693226,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,GOOGL,58.70530002463101,58.82977478286543,58.12460068518997,58.6264533996582,36022000,0.0041193623949105085,0.1015737409749653,,0.0074322704514425105,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,JPM,92.98138994942803,93.79342108855073,92.58743679902236,92.99746704101562,13141400,0.004865153085467977,0.07709628320539008,,0.006974315999783884,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,META,187.06328069763288,188.5131594087655,183.93513817107333,185.5935516357422,43275100,-0.0012291809478512938,0.030150930819810018,,0.015685147080229334,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,MSFT,86.02788814252715,87.54198037402911,85.80765870915316,87.1841049194336,48756300,0.024477229411583812,0.1054102384128921,,0.010623888593835108,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,NVDA,6.075847869742229,6.162373853434625,6.043215256146576,6.076589584350586,478576000,0.012689841618360731,0.23300749932948395,,0.018992126853712453,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-01-31,XOM,59.634473007572495,60.261409125357375,59.47602020728792,60.144290924072266,14404700,0.0059916822778154355,0.026696245447531464,,0.008596715073661467,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-02-28,AAPL,42.1129855310267,42.43248618806671,41.82872605204726,41.84516906738281,151128400,-0.0015137323652000267,0.07112754173404268,,0.02220587922362328,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-02-28,AMZN,75.97550201416016,76.43499755859375,75.5999984741211,75.62249755859375,90300000,0.0003108313001467522,0.05190495025043784,,0.023383184697156927,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
2018-02-28,AVGO,20.107628810288087,20.14007456603045,19.46660211225915,19.504589080810547,28834000,-0.021246167449049058,0.022740474512153996,,0.02399544990716958,,,False,,0.0,0.0,0.0,0.0,0.0,False,,False,0.0
