date,strategy,benchmark
2018-01-02,1.0,1.0
2018-01-03,1.0,1.006325230716859
2018-01-04,1.0,1.0105667311518995
2018-01-05,1.0,1.01730114312158
2018-01-08,1.0,1.019161338604852
2018-01-09,1.0,1.021468153399292
2018-01-10,1.0,1.0199055969125308
2018-01-11,1.0,1.0273467648049828
2018-01-12,1.0,1.0340438030428776
2018-01-16,1.0,1.0305095088165337
2018-01-17,1.0,1.0403319816607544
2018-01-18,1.0,1.0385830711275503
2018-01-19,1.0,1.0433084359524232
2018-01-22,1.0,1.051791436822504
2018-01-23,1.0,1.0540238257861763
2018-01-24,1.0,1.0536146445333547
2018-01-25,1.0,1.0540608778851583
2018-01-26,1.0,1.0662647200077084
2018-01-29,1.0,1.0591954882894135
2018-01-30,1.0,1.0483319543862926
2018-01-31,1.0,1.048852163282939
2018-02-01,1.0,1.0476612213375316
2018-02-02,1.0,1.024854046250025
2018-02-05,1.0,0.9819920366290873
2018-02-06,1.0,1.0013396649538218
2018-02-07,1.0,0.9959072868999345
2018-02-08,1.0,0.9585518881839699
2018-02-09,1.0,0.9729509385180884
2018-02-12,1.0,0.9872382536162141
2018-02-13,1.0,0.9896938557456291
2018-02-14,1.0,1.0030508801224365
2018-02-15,1.0,1.015849807258326
2018-02-16,1.0,1.0161477678876405
2018-02-20,1.0,1.0097850991124349
2018-02-21,1.0,1.0047622882707334
2018-02-22,1.0,1.0060645151662087
2018-02-23,1.0,1.0221008051240992
2018-02-26,1.0,1.033969570191792
2018-02-27,1.0,1.0210588434933487
2018-02-28,1.0,1.0107153898337529
2018-03-01,1.0,0.996018829156245
2018-03-02,1.0,1.001153696866743
2018-03-05,1.0,1.0127246299582426
2018-03-06,1.0,1.0152919673236507
2018-03-07,1.0,1.0149195808635683
2018-03-08,1.0,1.019831364061445
2018-03-09,1.0,1.0375786118817072
2018-03-12,1.0,1.036276577965914
2018-03-13,1.0,1.0295792824217762
2018-03-14,1.0,1.0242954987231818
2018-03-15,1.0,1.0231796902007102
2018-03-16,1.0,1.0242888730874264
2018-03-19,1.0,1.0104301015369028
2018-03-20,1.0,1.0121485212803196
2018-03-21,1.0,1.010206180778992
2018-03-22,1.0,0.984953824464909
2018-03-23,1.0,0.9639598864713393
2018-03-26,1.0,0.9903328757999488
2018-03-27,1.0,0.9734856852174603
2018-03-28,1.0,0.9706093230542918
2018-03-29,1.0,0.9830112266573383
2018-04-02,1.0,0.961793303579297
2018-04-03,1.0,0.974120652698454
2018-04-04,1.0,0.9845430350480693
2018-04-05,1.0,0.9923129759924268
2018-04-06,1.0,0.9701983406577698
2018-04-09,1.0,0.9749801198764053
2018-04-10,1.0,0.9904821777474098
2018-04-11,1.0,0.9852897377650558
