date,ticker,raw_weight,target_weight,close,target_notional,target_shares,target_notional_after_rounding
2026-03-17,COST,0.125,0.12,996.1599731445312,12000.0,12.046258,12000.000045772094
2026-03-17,CVX,0.125,0.12,197.97000122070312,12000.0,60.615244,11999.999928673216
2026-03-17,JNJ,0.125,0.12,238.1100006103516,12000.0,50.396875,11999.999937009814
2026-03-17,KO,0.125,0.12,77.58000183105469,12000.0,154.679037,11999.999973685775
2026-03-17,MRK,0.125,0.12,115.87000274658205,12000.0,103.564337,12000.000012637947
2026-03-17,NFLX,0.125,0.12,94.36000061035156,12000.0,127.17253,12000.000008419953
2026-03-17,PEP,0.125,0.12,156.5,12000.0,76.677316,11999.999954
2026-03-17,XOM,0.125,0.12,158.80999755859375,12000.0,75.561993,11999.999923852478
