date,strategy,benchmark
2018-01-02,1.0,1.0
2018-01-03,1.0,1.0063252311237394
2018-01-04,1.0,1.0105664745253615
2018-01-05,1.0,1.0173013372141977
2018-01-08,1.0,1.01916127551087
2018-01-09,1.0,1.0214682834333941
2018-01-10,1.0,1.0199055981929894
2018-01-11,1.0,1.0273470881969307
2018-01-12,1.0,1.0340438695593634
2018-01-16,1.0,1.0305095751056705
2018-01-17,1.0,1.0403319842551726
2018-01-18,1.0,1.0385832022625967
2018-01-19,1.0,1.0433084387383063
2018-01-22,1.0,1.0517914401540693
2018-01-23,1.0,1.0540238935879085
2018-01-24,1.0,1.0536145193290714
2018-01-25,1.0,1.0540611386689687
2018-01-26,1.0,1.0662647885968553
2018-01-29,1.0,1.0591952991175615
2018-01-30,1.0,1.048331185576543
2018-01-31,1.0,1.0488521020988661
2018-02-01,1.0,1.047661803342498
2018-02-02,1.0,1.0248539191956705
2018-02-05,1.0,0.9819922284503915
2018-02-06,1.0,1.001339407733738
2018-02-07,1.0,0.9959069650038396
2018-02-08,1.0,0.9585518855177546
2018-02-09,1.0,0.9729510011046796
2018-02-12,1.0,0.9872381884687292
2018-02-13,1.0,0.9896939194092345
2018-02-14,1.0,1.0030510089718183
2018-02-15,1.0,1.0158500012575837
2018-02-16,1.0,1.0161473829669811
2018-02-20,1.0,1.0097854213747006
2018-02-21,1.0,1.0047626745364637
2018-02-22,1.0,1.0060646442094474
2018-02-23,1.0,1.0221010638520271
2018-02-26,1.0,1.0339694437238076
2018-02-27,1.0,1.0210589735011213
2018-02-28,1.0,1.0107154548496016
2018-03-01,1.0,0.996019021879844
2018-03-02,1.0,1.001153246655002
2018-03-05,1.0,1.0127248237564688
2018-03-06,1.0,1.0152920969604597
2018-03-07,1.0,1.0149198391295529
2018-03-08,1.0,1.0198308507246092
2018-03-09,1.0,1.0375783569927501
2018-03-12,1.0,1.0362764516463316
2018-03-13,1.0,1.0295792843245097
2018-03-14,1.0,1.0242958862454168
2018-03-15,1.0,1.0231793700589555
2018-03-16,1.0,1.024289389262365
2018-03-19,1.0,1.0104302308609652
2018-03-20,1.0,1.012148715041487
2018-03-21,1.0,1.0102062457620853
2018-03-22,1.0,0.9849538878236049
2018-03-23,1.0,0.9639598841530025
2018-03-26,1.0,0.990332875178096
2018-03-27,1.0,0.9734858121650153
2018-03-28,1.0,0.9706093211636906
2018-03-29,1.0,0.9830112898910738
2018-04-02,1.0,0.9617932367950267
2018-04-03,1.0,0.9741207153602895
2018-04-04,1.0,0.9845430340537756
2018-04-05,1.0,0.9923130398245116
2018-04-06,1.0,0.9701983387407314
2018-04-09,1.0,0.9749799252872678
2018-04-10,1.0,0.9904824987679852
2018-04-11,1.0,0.9852901227781844
2018-04-12,1.0,0.9933963635034998
2018-04-13,1.0,0.9904824987679853
2018-04-16,1.0,0.9986257915946661
2018-04-17,1.0,1.0093094691212223
2018-04-18,1.0,1.0100568794784552
2018-04-19,1.0,1.0044533924125656
2018-04-20,1.0,0.9959361692642913
2018-04-23,1.0,0.9957867386540965
2018-04-24,1.0,0.9823763223692348
2018-04-25,1.0,0.9848044572134105
2018-04-26,1.0,0.9948157291573726
2018-04-27,1.0,0.995749622226166
2018-04-30,1.0,0.9880916090048699
2018-05-01,1.0,0.9898474025930165
2018-05-02,1.0,0.9831981585620231
2018-05-03,1.0,0.981031639857177
2018-05-04,1.0,0.9937325341315143
2018-05-07,1.0,0.9970944333913534
2018-05-08,1.0,0.9970944333913534
2018-05-09,1.0,1.0067320323199818
2018-05-10,1.0,1.01614564614973
2018-05-11,1.0,1.0192462509030646
2018-05-14,1.0,1.019731852141274
2018-05-15,1.0,1.012709192401206
2018-05-16,1.0,1.016967546669084
2018-05-17,1.0,1.0161082724155406
2018-05-18,1.0,1.01356808069536
2018-05-21,1.0,1.021188848835596
2018-05-22,1.0,1.0183496029153314
2018-05-23,1.0,1.0211511534685815
2018-05-24,1.0,1.0190591249258556
2018-05-25,1.0,1.016631440367634
2018-05-29,1.0,1.004938993650775
2018-05-30,1.0,1.0183496029153314
2018-05-31,1.0,1.012111598613557
2018-06-01,1.0,1.02204786578288
2018-06-04,1.0,1.0269041997977961
2018-06-05,1.0,1.0276514171753346
2018-06-06,1.0,1.0362428088529052
2018-06-07,1.0,1.0361307519769003
2018-06-08,1.0,1.0391938543429151
2018-06-11,1.0,1.040576425201682
2018-06-12,1.0,1.041920914734045
2018-06-13,1.0,1.0385965178615253
2018-06-14,1.0,1.0412111997438263
2018-06-15,1.0,1.039882663199551
2018-06-18,1.0,1.0377440622238585
2018-06-19,1.0,1.0337668150444659
2018-06-20,1.0,1.0355302634938324
2018-06-21,1.0,1.0290387481999022
2018-06-22,1.0,1.0309149611174866
2018-06-25,1.0,1.0168811560924629
2018-06-26,1.0,1.0191322642301142
2018-06-27,1.0,1.0106897242236543
2018-06-28,1.0,1.0164686298319467
2018-06-29,1.0,1.0179319305296264
2018-07-02,1.0,1.020108226872333
2018-07-03,1.0,1.0165059392395717
2018-07-05,1.0,1.0247982767170585
2018-07-06,1.0,1.0334665386396495
2018-07-09,1.0,1.0427723411466745
2018-07-10,1.0,1.0465243810224543
2018-07-11,1.0,1.0388699057622262
2018-07-12,1.0,1.0482881511046451
2018-07-13,1.0,1.0491139755444556
2018-07-16,1.0,1.048175772595816
2018-07-17,1.0,1.0524157937927057
2018-07-18,1.0,1.0546295281961673
2018-07-19,1.0,1.0506522166902097
2018-07-20,1.0,1.049451304050638
2018-07-23,1.0,1.0514028433756863
2018-07-24,1.0,1.0566931243972204
2018-07-25,1.0,1.0656989721322534
2018-07-26,1.0,1.0631848326708455
2018-07-27,1.0,1.0559805790381476
2018-07-30,1.0,1.0504643187942224
2018-07-31,1.0,1.0556426072663165
2018-08-01,1.0,1.05387915881695
2018-08-02,1.0,1.059620240405098
2018-08-03,1.0,1.064160280700545
2018-08-06,1.0,1.0680630377178173
2018-08-07,1.0,1.0715899989431148
2018-08-08,1.0,1.071139520009325
2018-08-09,1.0,1.06967641229134
2018-08-10,1.0,1.0625095323928317
2018-08-13,1.0,1.0585322852134393
2018-08-14,1.0,1.0652861885654772
