date,ticker,open,high,low,close,volume,sector,industry,ret_1,ret_5,ret_20,ret_60,ret_120,vol_20,vol_60,sma_20,sma_50,sma_200,price_vs_sma20,price_vs_sma50,price_vs_sma200,sma20_vs_sma50,sma50_vs_sma200,drawdown_20,drawdown_60,volume_ratio_20,log_dollar_volume_20,range_pct_20,vol_ratio_20_60,momentum_20_60_gap,trend_ok,benchmark_ret_1,benchmark_ret_20,benchmark_ret_60,benchmark_vol_20,benchmark_drawdown_60,benchmark_price_vs_sma200,benchmark_sma50_vs_sma200,market_trend_ok,market_high_vol_regime,rel_ret_20,rel_ret_60,benchmark_momentum_gap,relative_momentum_gap,cs_ret_20_z,cs_ret_60_z,cs_rel_ret_20_z,cs_vol_20_z,universe_momentum_rank_pct,universe_vol_rank_pct,market_breadth_trend_share,sector_size,sector_ret_20_mean,sector_rel_ret_20_mean,sector_vol_20_mean,sector_ret_20_gap,sector_rel_ret_20_gap,sector_vol_20_gap,sector_momentum_rank_pct,sector_trend_share,llm_score,enough_history,score,selected,weight
2018-01-31,AAPL,39.04306705153036,39.41040631577507,38.95649819798095,39.17409133911133,129915600,Technology,Consumer Electronics,0.0027552876486325317,-0.03897335422977466,-0.028038629519960945,,,0.009461627232853728,,40.73293170928955,,,-0.038269780857013935,,,,,-0.06599341145482795,,0.024371435532668295,22.362586687186905,0.013531526759320128,,,False,0.0004969005688952866,0.04885255866985516,,0.005495492058895634,,,,False,False,-0.0768911881898161,,,,-1.1982203580011577,0.0,-1.1982203580011577,-0.536405045414015,0.13333333333333333,0.3333333333333333,0.0,7,0.09890381747795536,0.05005125880810019,0.014899793102544532,-0.1269424469979163,-0.1269424469979163,-0.005438165869690804,0.2857142857142857,0.0,0.0,False,,False,0.0
2018-01-31,ABBV,82.473688597581,82.67950088041934,78.98198908735804,79.64200592041016,15744800,Healthcare,Drug Manufacturers,-0.031584530195663985,0.06359574538756596,0.14851110961724467,,,0.036047153549190844,,74.86567687988281,,,0.06379864898824938,,,,,-0.0891973224304039,,1.2685903942815524,20.10249053208562,0.02757837688778138,,,False,0.0004969005688952866,0.04885255866985516,,0.005495492058895634,,,,False,False,0.09965855094738951,,,,0.7320856385539091,0.0,0.7320856385539091,3.2120707859300532,0.8333333333333334,1.0,0.0,6,0.06478875951757605,0.015936200847720888,0.01846459036191505,0.08372235009966862,0.08372235009966862,0.017582563187275795,0.8333333333333334,0.0,0.0,False,,False,0.0
2018-01-31,AMD,13.239999771118164,13.850000381469727,13.149999618530273,13.739999771118164,140977800,Technology,Semiconductors,0.06759905930809484,0.08103853106843562,0.25136615154354547,,,0.02981424852339282,,12.425499963760377,,,0.10579049625299541,,,,,0.0,,1.1837680826269694,20.504415063888644,0.03654177984687968,,,False,0.0004969005688952866,0.04885255866985516,,0.005495492058895634,,,,False,False,0.2025135928736903,,,,1.8566509037110814,0.0,1.8566509037110814,2.333250725335297,0.9666666666666667,0.9666666666666667,0.0,7,0.09890381747795536,0.05005125880810019,0.014899793102544532,0.15246233406559012,0.15246233406559012,0.014914455420848289,1.0,0.0,0.0,False,,False,0.0
2018-01-31,AMZN,72.56500244140625,73.62899780273438,72.50199890136719,72.54450225830078,128494000,Consumer Discretionary,Internet Retail,0.009090198056924459,0.0687876844332731,0.2202504884311376,,,0.009819129832596956,,65.75054988861083,,,0.10332920988797367,,,,,0.0,,0.37167513373122674,22.551763198571923,0.01994396446105166,,,False,0.0004969005688952866,0.04885255866985516,,0.005495492058895634,,,,False,False,0.17139792976128243,,,,1.516447902640712,0.0,1.516447902640712,-0.4859983000731615,0.9,0.43333333333333335,0.0,3,0.13136175514234597,0.08250919647249082,0.012837703939946968,0.08888873328879163,0.08888873328879161,-0.003018574107350012,1.0,0.0,0.0,False,,False,0.0
2018-01-31,AVGO,19.784743671425105,20.033239399853148,19.3779693898432,19.62883949279785,80482000,Technology,Semiconductors,0.029255655364605282,-0.034376707711801346,-0.07108315870349802,,,0.016352054411837173,,20.66571674346924,,,-0.05017378606038725,,,,,-0.0890292142434208,,1.236543004029457,20.41524608590664,0.021654047085801244,,,False,0.0004969005688952866,0.04885255866985516,,0.005495492058895634,,,,False,False,-0.11993571737335318,,,,-1.6688475773214788,0.0,-1.6688475773214788,0.43512357661607654,0.03333333333333333,0.8,0.0,7,0.09890381747795536,0.05005125880810019,0.014899793102544532,-0.16998697618145336,-0.16998697618145336,0.0014522613092926417,0.14285714285714285,0.0,0.0,False,,False,0.0
2018-01-31,BAC,26.409084782173977,26.606845307146614,26.32668639702524,26.36788558959961,65734100,Financials,Banks,0.003764234047748616,-0.002804753777415403,0.07023378074382691,,,0.0067256536676474875,,25.755247592926025,,,0.023786919324427336,,,,,-0.008674300475600027,,-0.03089423510914735,21.281326962836182,0.01283176538871093,,,False,0.0004969005688952866,0.04885255866985516,,0.005495492058895634,,,,False,False,0.02138122207397175,,,,-0.12375928116723896,0.0,-0.12375928116723896,-0.9221687373695732,0.4666666666666667,0.06666666666666667,0.0,4,0.08661658132158179,0.037764022651726625,0.007436429486598806,-0.016382800577754875,-0.016382800577754875,-0.0007107758189513185,0.25,0.0,0.0,False,,False,0.0
2018-01-31,COST,176.6581860572696,177.57977091212084,173.66974558323352,174.3586883544922,2682300,Consumer Staples,Discount Stores,-0.01536074908188545,0.0032428915783240253,0.03478109598980095,,,0.009839800154035464,,172.07981796264647,,,0.013243100898330695,,,,,-0.020310761562249424,,-0.024478061394273,19.97455684058179,0.014862236066318927,,,False,0.0004969005688952866,0.04885255866985516,,0.005495492058895634,,,,False,False,-0.014071462680054214,,,,-0.5113810941991394,0.0,-0.5113810941991394,-0.4830838495779405,0.3333333333333333,0.4666666666666667,0.0,5,0.02794614447060717,-0.02090641419924799,0.008596880770604439,0.006834951519193777,0.006834951519193777,0.001242919383431025,0.6,0.0,0.0,False,,False,0.0
2018-01-31,CRM,111.70278495371542,113.14525768754818,111.28782859284748,112.54258728027344,4181800,Technology,Software,0.014969217934273082,0.009393104324153523,0.09098758193214906,,,0.008748033431863119,,109.31825752258301,,,0.029494887960726413,,,,,0.0,,0.08163333928234251,19.861300411340405,0.013986025773536779,,,False,0.0004969005688952866,0.04885255866985516,,0.005495492058895634,,,,False,False,0.0421350232622939,,,,0.10315233637979333,0.0,0.10315233637979333,-0.6370195333343274,0.6333333333333333,0.3,0.0,7,0.09890381747795536,0.05005125880810019,0.014899793102544532,-0.007916235545806297,-0.00791623554580629,-0.006151759670681413,0.42857142857142855,0.0,0.0,False,,False,0.0
2018-01-31,CVX,87.93788929901693,88.21834927681724,86.97732096291199,87.88880920410156,9626800,Energy,Oil & Gas,0.0009580548202687833,-0.04596980167024989,-0.017479084111242438,,,0.011852355365600227,,91.10883560180665,,,-0.03534263583148278,,,,,-0.06175154406959338,,0.5444010488733595,20.15764711411429,0.014009589748846182,,,False,0.0004969005688952866,0.04885255866985516,,0.005495492058895634,,,,False,False,-0.0663316427810976,,,,-1.0827676027438753,0.0,-1.0827676027438753,-0.19931987665406506,0.16666666666666666,0.6,0.0,2,0.004608577191280494,-0.04424398147857467,0.01022447758894731,-0.022087661302522932,-0.022087661302522932,0.0016278777766529171,0.5,0.0,0.0,False,,False,0.0
2018-01-31,GOOGL,58.70530384445866,58.82977861079239,58.124604467232764,58.62645721435547,36022000,Communication Services,Internet Content & Information,0.0041194933358370545,0.00933176693976101,0.1015739705671117,,,0.007432308068548173,,56.66682357788086,,,0.03458167429803716,,,,,-0.0044965047589418106,,0.15089571265627444,21.299553146369668,0.01310290378809889,,,False,0.0004969005688952866,0.04885255866985516,,0.005495492058895634,,,,False,False,0.05272141189725654,,,,0.21889858196359313,0.0,0.21889858196359313,-0.8225326830981414,0.6666666666666666,0.16666666666666666,0.0,3,0.15867766458226473,0.10982510591240957,0.017067268663192848,-0.05710369401515303,-0.05710369401515303,-0.009634960594644675,0.6666666666666666,0.0,0.0,False,,False,0.0
