date,strategy,benchmark
2018-01-02,1.0,1.0
2018-01-03,1.0,1.0063251663902983
2018-01-04,1.0,1.010566602498778
2018-01-05,1.0,1.017301400427823
2018-01-08,1.0,1.0191614672579734
2018-01-09,1.0,1.0214682820524132
2018-01-10,1.0,1.0199053396062876
2018-01-11,1.0,1.0273467648049825
2018-01-12,1.0,1.0340439316959988
2018-01-16,1.0,1.0305093158368515
2018-01-17,1.0,1.0403319173341936
2018-01-18,1.0,1.0385828781478679
2018-01-19,1.0,1.043308435952423
2018-01-22,1.0,1.0517914368225039
2018-01-23,1.0,1.054024018765858
2018-01-24,1.0,1.0536143872271113
2018-01-25,1.0,1.0540611995179614
2018-01-26,1.0,1.0662647200077078
2018-01-29,1.0,1.0591956169425343
2018-01-30,1.0,1.0483311181410024
2018-01-31,1.0,1.0488524849157421
2018-02-01,1.0,1.047661671623456
2018-02-02,1.0,1.0248540462500242
2018-02-05,1.0,0.9819921009556473
2018-02-06,1.0,1.001339407647578
2018-02-07,1.0,0.9959073512264941
2018-02-08,1.0,0.9585520168370902
2018-02-09,1.0,0.9729507455384051
2018-02-12,1.0,0.9872381892896523
2018-02-13,1.0,0.9896941773784317
2018-02-14,1.0,1.0030508801224356
2018-02-15,1.0,1.015849807258325
2018-02-16,1.0,1.0161473819282751
2018-02-20,1.0,1.009785549398359
2018-02-21,1.0,1.0047622882707323
2018-02-22,1.0,1.0060645151662075
2018-02-23,1.0,1.0221008694506588
2018-02-26,1.0,1.0339695701917908
2018-02-27,1.0,1.0210590364730299
2018-02-28,1.0,1.0107154541603125
2018-03-01,1.0,0.9960190221359261
2018-03-02,1.0,1.001153439560499
2018-03-05,1.0,1.0127245656316812
2018-03-06,1.0,1.0152918386705283
2018-03-07,1.0,1.0149199668229318
2018-03-08,1.0,1.0198310424286403
2018-03-09,1.0,1.037578676208267
2018-03-12,1.0,1.0362764493127916
2018-03-13,1.0,1.0295795397280183
2018-03-14,1.0,1.0242961419887882
2018-03-15,1.0,1.0231796258741483
2018-03-16,1.0,1.0242893233733505
2018-03-19,1.0,1.0104304231697054
2018-03-20,1.0,1.0121485856068793
2018-03-21,1.0,1.0102060521258693
2018-03-22,1.0,0.9849538887914687
2018-03-23,1.0,0.9639599507978991
2018-03-26,1.0,0.9903326828202657
2018-03-27,1.0,0.9734856852174593
2018-03-28,1.0,0.9706092587277301
2018-03-29,1.0,0.9830112266573373
2018-04-02,1.0,0.9617931749261746
2018-04-03,1.0,0.9741204597187709
2018-04-04,1.0,0.984542842068386
2018-04-05,1.0,0.992312975992426
2018-04-06,1.0,0.9701982763312083
2018-04-09,1.0,0.9749796695904794
2018-04-10,1.0,0.9904821777474089
2018-04-11,1.0,0.9852898664181764
2018-04-12,1.0,0.993396170948606
2018-04-13,1.0,0.9904821777474089
2018-04-16,1.0,0.998625663029942
2018-04-17,1.0,1.009309532848936
2018-04-18,1.0,1.0100567501784086
2018-04-19,1.0,1.0044531348198504
2018-04-20,1.0,0.9959362338522632
2018-04-23,1.0,0.9957868032516809
2018-04-24,1.0,0.9823762591763437
2018-04-25,1.0,0.9848042652112045
2018-04-26,1.0,0.9948157294908582
2018-04-27,1.0,0.9957496224995773
2018-04-30,1.0,0.9880915454443341
2018-05-01,1.0,0.9898474675726582
2018-05-02,1.0,0.9831981596428272
2018-05-03,1.0,0.9810313194445419
2018-05-04,1.0,0.9937322772284353
2018-05-07,1.0,0.9970941762720151
2018-05-08,1.0,0.9970941762720151
2018-05-09,1.0,1.0067320318869326
2018-05-10,1.0,1.0161458380908177
2018-05-11,1.0,1.019246185338458
2018-05-14,1.0,1.019731529239187
2018-05-15,1.0,1.0127088699508626
2018-05-16,1.0,1.0169675455776188
2018-05-17,1.0,1.0161084000324712
2018-05-18,1.0,1.0135684657819355
2018-05-21,1.0,1.0211885258397857
2018-05-22,1.0,1.0183496660615245
2018-05-23,1.0,1.0211514094142429
2018-05-24,1.0,1.0190595096592112
2018-05-25,1.0,1.0166312463181078
2018-05-29,1.0,1.0049386073737014
2018-05-30,1.0,1.0183496660615245
2018-05-31,1.0,1.0121112118750941
2018-06-01,1.0,1.022047735711494
2018-06-04,1.0,1.0269040050874583
2018-06-05,1.0,1.0276510294372487
2018-06-06,1.0,1.036242806521529
2018-06-07,1.0,1.0361310069589753
2018-06-08,1.0,1.0391942377810726
2018-06-11,1.0,1.0405761652852958
2018-06-12,1.0,1.04192129799678
2018-06-13,1.0,1.0385961937459394
2018-06-14,1.0,1.0412111970928504
2018-06-15,1.0,1.0398827892871567
2018-06-18,1.0,1.0377439954693508
2018-06-19,1.0,1.0337664912395579
2018-06-20,1.0,1.0355303898614128
2018-06-21,1.0,1.029038489025695
2018-06-22,1.0,1.0309148304757108
2018-06-25,1.0,1.0168811550065546
2018-06-26,1.0,1.0191325846322037
2018-06-27,1.0,1.0106896592094592
2018-06-28,1.0,1.01646817848665
2018-06-29,1.0,1.0179319937026863
2018-07-02,1.0,1.0201082255788385
2018-07-03,1.0,1.0165058738512394
2018-07-05,1.0,1.0247984037749907
2018-07-06,1.0,1.033466729466543
2018-07-09,1.0,1.042772209742154
2018-07-10,1.0,1.0465246353359428
2018-07-11,1.0,1.0388699032618576
2018-07-12,1.0,1.0482880193453117
2018-07-13,1.0,1.0491136507523176
2018-07-16,1.0,1.0481753192109078
2018-07-17,1.0,1.0524152758084906
