date,ticker,horizon_bucket,llm_score,document_count,section_count,avg_confidence,avg_risk_flag
2025-01-31,AAPL,short_term,0.20,1,1,0.80,0.10
2025-01-31,AAPL,swing,0.35,1,1,0.80,0.10
2025-01-31,AAPL,long_term,0.25,1,1,0.80,0.10
2025-02-28,MSFT,short_term,0.10,1,2,0.75,0.15
2025-02-28,MSFT,swing,0.30,1,2,0.75,0.15
2025-02-28,MSFT,long_term,0.40,1,2,0.75,0.15
