date,ticker,open,high,low,close,volume,sector,industry,ret_1,ret_5,ret_20,ret_60,ret_120,vol_20,vol_60,sma_20,sma_50,sma_200,price_vs_sma20,price_vs_sma50,price_vs_sma200,sma20_vs_sma50,sma50_vs_sma200,drawdown_20,drawdown_60,dollar_volume_20,volume_ratio_20,log_dollar_volume_20,range_pct_20,vol_ratio_20_60,momentum_20_60_gap,trend_ok,benchmark_ret_1,benchmark_ret_20,benchmark_ret_60,benchmark_vol_20,benchmark_drawdown_60,benchmark_price_vs_sma200,benchmark_sma50_vs_sma200,market_trend_ok,market_high_vol_regime,rel_ret_20,rel_ret_60,benchmark_momentum_gap,relative_momentum_gap,first_universe_date,universe_age_days,eligible_universe,cs_ret_20_z,cs_ret_60_z,cs_rel_ret_20_z,cs_vol_20_z,universe_momentum_rank_pct,universe_vol_rank_pct,market_breadth_trend_share,sector_size,sector_ret_20_mean,sector_rel_ret_20_mean,sector_vol_20_mean,sector_ret_20_gap,sector_rel_ret_20_gap,sector_vol_20_gap,sector_momentum_rank_pct,sector_trend_share,llm_score,future_return,label_available_date,trend_flag,market_trend_flag,market_high_vol_flag,enough_history,has_model_features,has_training_label,predicted_return,selected,weight,train_sample_count,validation_sample_count,validation_mse
2025-03-31,AAPL,216.06828445549021,224.64092215942225,215.29167046357225,221.16607666015625,65299300,Technology,Consumer Electronics,0.019412624201514683,0.006342712545856832,-0.06679826730123406,-0.1119948884845765,-0.01843522850439494,0.01958869112958471,0.01822485364719831,220.97340698242186,229.17480102539062,227.71585746765138,0.000871913414222325,-0.034945920447628454,-0.028762954325328716,-0.03578663101821611,0.006406859732842607,-0.07085789202896309,-0.10105216727306288,11780709140.424881,0.2227697905211854,23.189729212120703,0.02751264287161373,0.07483393330821397,0.045196621183342445,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918701511473585,-0.08460543684335775,-0.020220281224799797,0.026801515737266524,False,True,-0.027917851487957335,-0.06932635223383221,0.003788120437467568,0.04140850074587488,2018-01-02,2645.0,True,-0.4088800264857463,-0.5965362634666301,-0.40888002648574623,-0.1046991306096669,0.4,0.5333333333333333,0.2,7,-0.061342621352395606,-0.02246220553911888,0.02630822764524893,-0.005455645948838454,-0.005455645948838454,-0.006719536515664221,0.5714285714285714,0.0,0.0,-0.04916043089923372,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,ABBV,197.79474006819547,203.96766699986688,197.79474006819547,202.71954345703125,11093700,Healthcare,Drug Manufacturers,0.020605189777284094,0.0016733475410295462,-0.009267912470577233,0.19018477236086717,0.09725023990477655,0.013918566825304126,0.014144531877828981,203.27343978881837,191.43662078857423,179.01842323303222,-0.0027248829574713085,0.05893816252073347,0.13239486638281228,0.061831529158242526,0.06936826574199562,-0.032954833057423194,-0.032954833057423194,1434256095.8195496,0.5704391587008915,21.08391215231367,0.024278756039788386,-0.015975435205391797,-0.1994526848314444,True,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918701511473585,-0.08460543684335775,-0.020220281224799797,0.026801515737266524,False,True,0.029612503342699492,0.23285330861161146,0.003788120437467568,-0.20324080526891197,2021-01-04,1547.0,True,0.5085373413357737,1.654799289190334,0.5085373413357737,-0.6616299655599808,0.8,0.3,0.2,6,-0.013389070365116681,0.025491345448160046,0.013517391713579999,0.004121157894539448,0.004121157894539446,0.0004011751117241266,0.6666666666666666,0.3333333333333333,0.0,-0.06787752716735962,2025-04-29,1.0,0.0,1.0,True,True,True,0.0003682365749397075,True,0.125,22737.0,1800.0,0.008454709484820466
2025-03-31,AMD,100.23999786376953,102.81999969482422,98.80000305175781,102.73999786376953,30865300,Technology,Semiconductors,-0.004650294044341807,-0.09758454773169756,0.04591259648488655,-0.1494329242068705,-0.3988297160150863,0.02995535056511067,0.027886595895400598,103.71049995422364,109.18039978027343,137.60005043029784,-0.009357799749133089,-0.05898862734946264,-0.2533433124298663,-0.050099650093405224,-0.20653808309772792,-0.10513021471552808,-0.2069471598335444,3545829844.4454575,-0.09527869923064991,21.989038058519156,0.03683841037691893,0.07418455366405174,0.19534552069175704,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918701511473585,-0.08460543684335775,-0.020220281224799797,0.026801515737266524,False,True,0.08479301229816327,-0.1067643879561262,0.003788120437467568,0.19155740025428947,2024-01-02,454.0,True,1.388482501242854,-0.875461657079907,1.388482501242854,0.9135346831912734,0.9,0.8666666666666667,0.2,7,-0.061342621352395606,-0.02246220553911888,0.02630822764524893,0.10725521783728215,0.10725521783728215,0.003647122919861738,1.0,0.0,0.0,-0.06501849760629042,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,AMZN,188.19000244140625,191.3300018310547,184.39999389648438,190.25999450683594,63547600,Consumer Discretionary,Internet Retail,-0.012764667384211892,-0.06395749459475064,-0.0719930224272638,-0.13277726862597805,0.020106161119759935,0.020651033455560717,0.018006056354824433,198.18349990844726,216.09419982910157,200.21945030212402,-0.03998065129171535,-0.11955066513907664,-0.04974269872512194,-0.08288376057672542,0.07928675012853703,-0.08686890982191908,-0.2139965445518066,9134497232.75444,0.37582658257966717,22.935323987905935,0.03004023041858092,0.1468937477821235,0.060784246198714253,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918701511473585,-0.08460543684335775,-0.020220281224799797,0.026801515737266524,False,True,-0.03311260661398707,-0.09010873237523376,0.003788120437467568,0.056996125761246685,2018-01-02,2645.0,True,-0.49171905273941313,-0.7513716721445827,-0.4917190527394131,-0.00035376411351843246,0.36666666666666664,0.6333333333333333,0.2,3,-0.07170259370117323,-0.03282217788789651,0.03275658551283831,-0.0002904287260905719,-0.00029042872609056497,-0.012105552057277594,0.6666666666666666,0.0,0.0,-0.015084595816512447,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,AVGO,163.51020338452625,166.93965006119086,159.66324513451602,166.43267822265625,35656400,Technology,Semiconductors,-0.009992984751705736,-0.12454910474286185,-0.10371656644900795,-0.275635702136813,-0.04672437827468223,0.03544382051968283,0.037365181436954886,185.41384506225586,206.38555114746094,181.80691749572753,-0.10237189587016204,-0.19358367241638275,-0.08456355503322677,-0.10161421654087088,0.13519086066849462,-0.14129668048485855,-0.313703989852667,6626217724.994812,-0.001922319267349315,22.614299999625462,0.04363515892097345,-0.05142115850591833,0.17191913568780504,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918701511473585,-0.08460543684335775,-0.020220281224799797,0.026801515737266524,False,True,-0.06483615063573123,-0.2329671658860687,0.003788120437467568,0.16813101525033747,2018-01-02,2645.0,True,-0.9976038215726102,-1.815712897030411,-0.9976038215726102,1.4526230682716452,0.13333333333333333,0.9666666666666667,0.2,7,-0.061342621352395606,-0.02246220553911888,0.02630822764524893,-0.042373945096612346,-0.042373945096612346,0.009135592874433902,0.2857142857142857,0.0,0.0,0.14179067805032441,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,BAC,39.88293915252898,40.97830459465042,39.70689841114457,40.812042236328125,36390000,Financials,Banks,0.011636250029785522,-0.031112246957778922,-0.07828497731171136,-0.044520072957987766,0.0527781891572614,0.021285040212722667,0.016457643701611423,40.679879379272464,43.182820587158204,41.254586944580076,0.0032488507604326866,-0.05490096104410336,-0.010727163717490384,-0.05796150352971774,0.04673986059219182,-0.03581338819024982,-0.12037417982903154,1804620076.6510582,-0.1818046300549533,21.313615923280725,0.026572956782207426,0.29332245846582383,-0.03376490435372359,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918701511473585,-0.08460543684335775,-0.020220281224799797,0.026801515737266524,False,True,-0.03940456149843463,-0.001851536707243473,0.003788120437467568,-0.03755302479119116,2021-01-04,1547.0,True,-0.5920547573519225,-0.09382721058409277,-0.5920547573519225,0.061919634789531997,0.3,0.7333333333333333,0.2,4,-0.05376998911051098,-0.014889573297234254,0.017866228308370088,-0.024514988201200377,-0.024514988201200377,0.0034188119043525797,0.25,0.25,0.0,-0.041696545876145685,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,COST,917.3326083722798,989.5766943776515,917.0143452666747,940.625,3102000,Consumer Staples,Discount Stores,0.017339770570447444,0.02131668551084487,-0.09654672054995095,0.03334722644647958,0.07357311229898533,0.021046321783940915,0.01636164471217167,934.1643463134766,979.89283203125,911.8728900146484,0.0069159711693336234,-0.040073598609605576,0.03153083099651055,-0.04666682337392081,0.07459366624608044,-0.09732281287687938,-0.12172411792577076,2479555778.94104,0.1687577709958179,21.631345260087706,0.026451567049812857,0.28632066972364,-0.12989394699643053,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918701511473585,-0.08460543684335775,-0.020220281224799797,0.026801515737266524,False,True,-0.05766630473667422,0.07601576269722388,0.003788120437467568,-0.1336820674338981,2018-01-02,2645.0,True,-0.8832686819448317,0.48630918591654915,-0.8832686819448317,0.038472238096821106,0.2,0.6666666666666666,0.2,5,-0.05131940538632176,-0.012438989573045034,0.015668266014716426,-0.04522731516362919,-0.04522731516362919,0.005378055769224489,0.4,0.4,0.0,0.048552481312292395,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,CRM,262.8341291870963,266.7088582287802,257.50890844493546,266.6194152832031,7585800,Technology,Software,-0.005963591530730672,-0.06154694743897671,-0.0842829837295026,-0.19731993001274872,-0.06632067129784491,0.02063488501466325,0.018786546459949413,278.3895629882812,306.2832678222656,289.5396164703369,-0.042279414424647666,-0.12950055293937635,-0.07916084667979084,-0.09107159209941218,0.05782853329725279,-0.08086441774776576,-0.25445193213816397,1948382260.9014893,0.0835688436461497,21.390265255924554,0.027805804377607886,0.0983862871579011,0.11303694628324612,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918701511473585,-0.08460543684335775,-0.020220281224799797,0.026801515737266524,False,True,-0.04540256791622588,-0.15465139376200443,0.003788120437467568,0.10924882584577855,2021-01-04,1547.0,True,-0.6877029638714894,-1.2322352346907632,-0.6877029638714894,-0.0019398959493554877,0.26666666666666666,0.6,0.2,7,-0.061342621352395606,-0.02246220553911888,0.02630822764524893,-0.022940362377106997,-0.022940362377106997,-0.005673342630585682,0.42857142857142855,0.0,0.0,-0.0006681100223943082,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
2025-03-31,CVX,159.03320975958107,161.64564117424183,158.9757959309468,160.08583068847656,10675300,Energy,Oil & Gas,0.007224948922963659,0.013755885216240271,0.09275596356113924,0.1678094253043474,0.13354742918586826,0.011673793341272127,0.01331899935581378,153.06718673706055,149.96216064453125,143.80807250976562,0.04585335434087945,0.06750816339558052,0.11319085149135533,0.020705397142745996,0.0427937599563315,-0.004048308197337591,-0.004048308197337591,1453694915.8992767,0.12568692652871638,21.097374370726257,0.019130884615162345,-0.12352324454640917,-0.07505346174320815,True,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918701511473585,-0.08460543684335775,-0.020220281224799797,0.026801515737266524,False,True,0.13163637937441597,0.21047796155509169,0.003788120437467568,-0.07884158218067572,2024-01-02,454.0,True,2.135478042109786,1.4880957652322924,2.135478042109786,-0.8821160613925637,0.9333333333333333,0.13333333333333333,0.2,2,0.09820609219585796,0.1370865080091347,0.012634736677126238,-0.0054501286347187206,-0.0054501286347187206,-0.0009609433358541107,0.5,0.5,0.0,-0.1673141344064678,2025-04-29,1.0,0.0,1.0,True,True,True,0.006421872744012133,True,0.125,22737.0,1800.0,0.008454709484820466
2025-03-31,GOOGL,152.58092477046202,155.0025205393741,150.13939385440554,154.1056365966797,54603500,Communication Services,Internet Content & Information,0.002008488154295218,-0.077767227852096,-0.07300107142866974,-0.1821548264238505,-0.07221642199293832,0.022401380392745324,0.02072188192745112,164.6678253173828,178.2897836303711,173.86009162902832,-0.06414239515427755,-0.1356451645251293,-0.11362271149896452,-0.07640347099881628,0.02547848652233875,-0.10952440362539684,-0.2498396726216694,5667785866.705551,0.5795469305093075,22.45806437889845,0.028133612487709837,0.08104951428515306,0.10915375499518076,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918701511473585,-0.08460543684335775,-0.020220281224799797,0.026801515737266524,False,True,-0.034120655615393014,-0.1394862901731062,0.003788120437467568,0.1053656345577132,2018-01-02,2645.0,True,-0.5077940737301083,-1.1192503409560561,-0.5077940737301083,0.17156877741577736,0.3333333333333333,0.7666666666666667,0.2,3,-0.07820951687460664,-0.03932910106132992,0.027010545686867993,0.0052084454459369045,0.0052084454459369045,-0.004609165294122669,0.6666666666666666,0.0,0.0,0.03569594316214908,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0,
