date,ticker,open,high,low,close,volume,sector,industry,ret_1,ret_5,ret_20,ret_60,ret_120,vol_20,vol_60,sma_20,sma_50,sma_200,price_vs_sma20,price_vs_sma50,price_vs_sma200,sma20_vs_sma50,sma50_vs_sma200,drawdown_20,drawdown_60,dollar_volume_20,volume_ratio_20,log_dollar_volume_20,range_pct_20,vol_ratio_20_60,momentum_20_60_gap,trend_ok,benchmark_ret_1,benchmark_ret_20,benchmark_ret_60,benchmark_vol_20,benchmark_drawdown_60,benchmark_price_vs_sma200,benchmark_sma50_vs_sma200,market_trend_ok,market_high_vol_regime,rel_ret_20,rel_ret_60,benchmark_momentum_gap,relative_momentum_gap,first_universe_date,universe_age_days,eligible_universe,cs_ret_20_z,cs_ret_60_z,cs_rel_ret_20_z,cs_vol_20_z,universe_momentum_rank_pct,universe_vol_rank_pct,market_breadth_trend_share,sector_size,sector_ret_20_mean,sector_rel_ret_20_mean,sector_vol_20_mean,sector_ret_20_gap,sector_rel_ret_20_gap,sector_vol_20_gap,sector_momentum_rank_pct,sector_trend_share,llm_score,future_return,label_available_date,trend_flag,market_trend_flag,market_high_vol_flag,enough_history,has_model_features,has_training_label,predicted_return,selected,weight,train_sample_count,validation_sample_count
2025-03-31,AAPL,216.0682695484103,224.6409066608951,215.29165561007284,221.1660614013672,65299300,Technology,Consumer Electronics,0.019412553869742055,0.0063425732453969985,-0.06679833168510618,-0.11199494975022306,-0.018435296224951436,0.019588691359903408,0.01822485068882869,220.97340240478516,229.17479797363282,227.7158568572998,0.0008718650954611107,-0.03494597417813394,-0.028763018730123435,-0.035786638152905725,0.006406849028731898,-0.0708579561327517,-0.10105222929367452,11780708934.912186,0.2227697905211854,23.189729194675852,0.027512642871613757,0.0748341204194729,0.04519661806511688,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918703422614518,-0.08460534461853264,-0.02022028729993408,0.02680151799736996,False,True,-0.027917915871829457,-0.06932641349947877,0.003788120437467568,0.04140849762764931,2018-09-28,2376.0,True,-0.42741272070103237,-0.7040951172882162,-0.4274127207010325,-0.2647995191120783,0.36666666666666664,0.4666666666666667,0.13333333333333333,11,-0.05300353558701582,-0.014123119773739095,0.027116811268875083,-0.01379479609809036,-0.013794796098090362,-0.0075281199089716755,0.45454545454545453,0.0,0.0,-0.04916036529847967,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,ABBV,197.7947251800985,203.967651647131,197.7947251800985,202.7195281982422,11093700,Health Care,Biotechnology,0.020605034551574697,0.0016732721446370835,-0.009267987043416581,0.19018468277513656,0.097250157314269,0.013918547444533719,0.014144514778706077,203.27343826293946,191.43661987304688,179.0184220123291,-0.0027249505367286098,0.05893808787826327,0.13239478886860478,0.06183152626567634,0.06936826791972583,-0.03295476506505779,-0.03295476506505779,1434256070.9990692,0.5704391587008915,21.083912135008198,0.02427875603978836,-0.015975615827595768,-0.19945266981855314,True,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918703422614518,-0.08460534461853264,-0.02022028729993408,0.02680151799736996,False,True,0.029612428769860144,0.23285321902588085,0.003788120437467568,-0.2032407902560207,2019-08-30,2040.0,True,0.4580344123293554,1.8386438721374838,0.45803441232935527,-0.9043750572110485,0.7333333333333333,0.23333333333333334,0.13333333333333333,5,-0.0062818146207269665,0.03259860119254976,0.013893227546376383,-0.0029861724226896147,-0.0029861724226896147,2.531989815733604e-05,0.6,0.4,0.0,-0.0678774570060865,2025-04-29,1.0,0.0,1.0,True,True,True,-0.008833158000174472,True,0.125,36989.0,1670.0
2025-03-31,ADBE,380.0,384.7999877929688,374.6700134277344,383.5299987792969,3960700,Technology,Application Software,-0.005651895787187944,-0.02773342055809558,-0.12976493529452215,-0.137514605792191,-0.2438586848778187,0.03603045568348671,0.023397200929913868,409.4074981689453,430.2790002441406,493.7168489074707,-0.06320719455648538,-0.10864811305761679,-0.2231782252762946,-0.04850690380741973,-0.1284903458403528,-0.1500531710851013,-0.17362260911328253,1845606477.79068,-0.1356325952954861,21.336073775215727,0.028852164470459463,0.5399472693941321,0.007749670497668837,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918703422614518,-0.08460534461853264,-0.02022028729993408,0.02680151799736996,False,True,-0.09088451948124543,-0.0948460695414467,0.003788120437467568,0.003961550060201269,2018-09-28,2376.0,True,-1.3965290885911035,-0.9188343565690081,-1.3965290885911035,1.5897830843466951,0.06666666666666667,0.9666666666666667,0.13333333333333333,11,-0.05300353558701582,-0.014123119773739095,0.027116811268875083,-0.07676139970750634,-0.07676139970750634,0.008913644414611625,0.18181818181818182,0.0,0.0,-0.032722310726443715,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,AMD,100.23999786376952,102.81999969482422,98.8000030517578,102.73999786376952,30865300,Technology,Semiconductors,-0.004650294044342029,-0.09758454773169767,0.045912596484886325,-0.1494329242068706,-0.3988297160150863,0.029955350565110565,0.02788659589540057,103.71049995422364,109.18039978027343,137.60005043029784,-0.009357799749133311,-0.05898862734946275,-0.2533433124298664,-0.050099650093405224,-0.20653808309772792,-0.1051302147155283,-0.2069471598335445,3545829844.4454575,-0.09527869923064991,21.989038058519156,0.03683841037691895,0.07418455366404908,0.19534552069175692,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918703422614518,-0.08460534461853264,-0.02022028729993408,0.02680151799736996,False,True,0.08479301229816305,-0.1067643879561263,0.003788120437467568,0.19155740025428936,2018-09-28,2376.0,True,1.3073164701439963,-1.019122958643646,1.3073164701439963,0.9045291149437158,0.9,0.8,0.13333333333333333,11,-0.05300353558701582,-0.014123119773739095,0.027116811268875083,0.09891613207190214,0.09891613207190214,0.0028385392962354816,1.0,0.0,0.0,-0.0650184976062902,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,AMZN,188.19000244140625,191.3300018310547,184.3999938964844,190.25999450683597,63547600,Consumer Discretionary,Broadline Retail,-0.01276466738421178,-0.06395749459475064,-0.07199302242726358,-0.13277726862597783,0.020106161119759935,0.020651033455560724,0.018006056354824388,198.1834999084473,216.09419982910157,200.21945030212402,-0.03998065129171535,-0.11955066513907653,-0.049742698725121826,-0.08288376057672531,0.07928675012853703,-0.08686890982191897,-0.2139965445518064,9134497232.75444,0.37582658257966717,22.935323987905935,0.030040230418580904,0.14689374778212683,0.060784246198714253,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918703422614518,-0.08460534461853264,-0.02022028729993408,0.02680151799736996,False,True,-0.03311260661398685,-0.09010873237523354,0.003788120437467568,0.056996125761246685,2018-09-28,2376.0,True,-0.507363989084181,-0.8789712730848003,-0.5073639890841811,-0.14497045875375467,0.3333333333333333,0.5333333333333333,0.13333333333333333,3,-0.06407934796246377,-0.02519893214918704,0.020234182185091126,-0.007913674464799805,-0.007913674464799809,0.00041685127046959744,0.3333333333333333,0.0,0.0,-0.015084595816512558,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,AVGO,163.51020338452625,166.93965006119086,159.66324513451602,166.43267822265625,35656400,Technology,Semiconductors,-0.009992984751705736,-0.12454910474286185,-0.10371664009890957,-0.27563565403122037,-0.04672446158876231,0.03544378059354442,0.037365171826108386,185.4138427734375,206.3855487060547,181.80691787719726,-0.10237188478950232,-0.19358366287700435,-0.08456355695400797,-0.10161421700356654,0.13519084485805566,-0.1412966128815759,-0.313703989852667,6626217680.327377,-0.001922319267349315,22.614299992884447,0.04363515892097343,-0.051421983056997966,0.1719190139323108,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918703422614518,-0.08460534461853264,-0.02022028729993408,0.02680151799736996,False,True,-0.06483622428563285,-0.23296711778047607,0.003788120437467568,0.16813089349484323,2018-09-28,2376.0,True,-0.9956208645063364,-2.081076072473716,-0.9956208645063364,1.5236078616469668,0.16666666666666666,0.9333333333333333,0.13333333333333333,11,-0.05300353558701582,-0.014123119773739095,0.027116811268875083,-0.05071310451189375,-0.05071310451189375,0.00832696932466934,0.2727272727272727,0.0,0.0,0.14179067805032397,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,BA,170.64999389648438,172.2100067138672,166.7899932861328,170.5500030517578,7477500,Industrials,Aerospace and Defense,-0.015925189231526082,-0.05721388166905694,0.0028813683417538982,-0.036440660724532115,0.10032260033392126,0.03133009302424481,0.02262339656317438,166.43999938964845,173.6735998535156,167.73539978027344,0.024693605366385096,-0.017985443984534166,0.01678001945427976,-0.041650547175669295,0.03540218749900714,-0.06594004889431249,-0.08429528562814592,1521934356.7865753,-0.18012790114387367,21.143247966537675,0.03590422479781884,0.3848536375498499,0.03932202906628601,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918703422614518,-0.08460534461853264,-0.02022028729993408,0.02680151799736996,False,True,0.04176178415503062,0.006227875526212179,0.003788120437467568,0.035533908628818445,2018-09-28,2376.0,True,0.6450246339413941,-0.06833143289151905,0.645024633941394,1.059596016449506,0.8333333333333334,0.8333333333333334,0.13333333333333333,1,0.0028813683417538982,0.04176178415503062,0.03133009302424481,0.0,0.0,0.0,0.5,0.0,0.0,0.06713571822550701,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,BKNG,4488.409682690957,4590.8544986079005,4407.082798436745,4571.8701171875,359400,Consumer Discretionary,Hotels and Resorts,-0.0058973943000419915,-0.021829281071124806,-0.06667864153910474,-0.0708621208404483,0.10418570227049839,0.022793729188256683,0.018787899563102464,4574.946484375,4727.564677734375,4387.786527099609,-0.0006724378521163477,-0.032933353885174155,0.041953634013633945,-0.03228262409146254,0.07743725647003274,-0.061233259601083834,-0.10220631461300966,1351252106.5234375,0.21324646389629676,21.024297486600798,0.029541070938264746,0.21321327654003763,0.004183479301343551,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918703422614518,-0.08460534461853264,-0.02022028729993408,0.02680151799736996,False,True,-0.02779822572582802,-0.028193584589704,0.003788120437467568,0.00039535886387598307,2018-09-28,2376.0,True,-0.42557057465986015,-0.35797633045871846,-0.42557057465986026,0.09671931079630719,0.4,0.6666666666666666,0.13333333333333333,3,-0.06407934796246377,-0.02519893214918704,0.020234182185091126,-0.0025992935766409736,-0.002599293576640977,0.002559547003165557,0.6666666666666666,0.0,0.0,0.06562314766655386,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,COST,917.3326083722798,989.5766943776516,917.0143452666748,940.625,3102000,Consumer Staples,Consumer Staples Merchandise Retail,0.017339770570447444,0.02131668551084487,-0.09654672054995095,0.03334722644647958,0.07357311229898533,0.021046323488155126,0.016361644549226256,934.16435546875,979.8928454589844,911.8728964233399,0.006915961301058315,-0.040073611763734474,0.031530823746856784,-0.0466668270945636,0.07459367341922407,-0.09732281287687938,-0.12172411792577076,2479555807.6675415,0.1687577709958179,21.631345271673048,0.026451567049812875,0.28632078669319383,-0.12989394699643053,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918703422614518,-0.08460534461853264,-0.02022028729993408,0.02680151799736996,False,True,-0.05766630473667422,0.07601576269722388,0.003788120437467568,-0.1336820674338981,2019-10-31,1978.0,True,-0.8852689320049025,0.5189099381313306,-0.8852689320049026,-0.10038290699577766,0.23333333333333334,0.5666666666666667,0.13333333333333333,2,-0.06299518522913217,-0.02411476941585544,0.016742161892793397,-0.03355153532081878,-0.03355153532081878,0.0043041615953617295,0.5,0.5,0.0,0.048552481312292395,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0
2025-03-31,CRM,262.8340991027866,266.7088277009643,257.50887897015684,266.619384765625,7585800,Technology,Application Software,-0.005963705309330436,-0.06154715566072344,-0.0842830885435708,-0.19732009563526953,-0.06632087795024111,0.02063491250221914,0.018786586093258777,278.38956756591796,306.28326599121095,289.5396166992187,-0.042279539794557786,-0.12950064737367706,-0.07916095280807056,-0.09107157171979952,0.05782852613701572,-0.08086461965109693,-0.2544520810968106,1948382280.2124023,0.0835688436461497,21.390265265835808,0.02780580437760788,0.09838543308427927,0.11303700709169873,False,0.006712770962271408,-0.038880415813276725,-0.04266853625074429,0.012918703422614518,-0.08460534461853264,-0.02022028729993408,0.02680151799736996,False,True,-0.04540267273029408,-0.15465155938452524,0.003788120437467568,0.10924888665423116,2018-09-28,2376.0,True,-0.6965198836857982,-1.422077244035742,-0.6965198836857983,-0.14678885482306148,0.26666666666666666,0.5,0.13333333333333333,11,-0.05300353558701582,-0.014123119773739095,0.027116811268875083,-0.03127955295655498,-0.03127955295655498,-0.006481898766655943,0.36363636363636365,0.0,0.0,-0.0006678811764414538,2025-04-29,0.0,0.0,1.0,True,True,True,,False,0.0,0.0,0.0
